TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_SW_CPU_CLOCK;PERF_COUNT_HW_BRANCH_MISSES;MEMORY_ANON;MEMORY_FILE
1700515985.681106;#SYSTEM;79414297;51400601;559467728;363740;93462528;1306513408
1700515985.681106;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700515985.681106;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1700515986.679548;#SYSTEM;623077536;516285906;31714998352;3077791;98844672;1333108736
1700515986.679548;/sys/fs/cgroup/custom.slice/pg1;147205975;139746679;87047652;523909;1789952;8863744
1700515986.679548;/sys/fs/cgroup/custom.slice/pg2;292470157;213948809;154037891;1234990;3584000;17727488
1700515987.679324;#SYSTEM;12784881005;18991507392;25990001489;111770410;101580800;1333063680
1700515987.679324;/sys/fs/cgroup/custom.slice/pg1;4182682903;7746106258;1999329273;31119061;1789952;8863744
1700515987.679324;/sys/fs/cgroup/custom.slice/pg2;8368188267;11018617109;3999561984;78808922;3584000;17727488
1700515988.678464;#SYSTEM;12754847790;18979134127;25975386742;111483516;101765120;1333063680
1700515988.678464;/sys/fs/cgroup/custom.slice/pg1;4177174564;7736249688;1996433631;31066194;1789952;8863744
1700515988.678464;/sys/fs/cgroup/custom.slice/pg2;8368110349;11027569699;3998931308;78669419;3584000;17727488
1700515989.677611;#SYSTEM;12759481861;18985842558;25976252489;111498207;102084608;1333071872
1700515989.677611;/sys/fs/cgroup/custom.slice/pg1;4178368053;7738915769;1996970351;31090791;1789952;8863744
1700515989.677611;/sys/fs/cgroup/custom.slice/pg2;8367979639;11027911071;3998821798;78620296;3584000;17727488
1700515990.676832;#SYSTEM;12762920994;18987067444;25979567150;111477623;104148992;1333075968
1700515990.676832;/sys/fs/cgroup/custom.slice/pg1;4184706723;7749816567;2000031821;31124299;1789952;8863744
1700515990.676832;/sys/fs/cgroup/custom.slice/pg2;8360277458;11016309955;3995139073;78534760;3584000;17727488
1700515991.675936;#SYSTEM;12765041597;18992891906;25974449417;111504521;104357888;1333084160
1700515991.675936;/sys/fs/cgroup/custom.slice/pg1;4184622633;7750984440;1999977439;31137020;1789952;8863744
1700515991.675936;/sys/fs/cgroup/custom.slice/pg2;8355389159;11012552222;3992771971;78461014;3584000;17727488
1700515992.675221;#SYSTEM;12763797044;18996047568;25979774256;111481331;104357888;1333088256
1700515992.675221;/sys/fs/cgroup/custom.slice/pg1;4184598624;7751807263;1999984940;31139100;1789952;8863744
1700515992.675221;/sys/fs/cgroup/custom.slice/pg2;8359479211;11017078021;3994749671;78490123;3584000;17727488
1700515993.674206;#SYSTEM;12757994503;18994756722;25977482016;111406955;104357888;1333088256
1700515993.674206;/sys/fs/cgroup/custom.slice/pg1;4184695378;7751539927;2000040161;31139924;1789952;8863744
1700515993.674206;/sys/fs/cgroup/custom.slice/pg2;8357494948;11017783671;3993791283;78446121;3584000;17727488
1700515994.673370;#SYSTEM;12757192618;18992062744;25975854153;111393588;104357888;1333088256
1700515994.673370;/sys/fs/cgroup/custom.slice/pg1;4180892871;7745313216;1998216102;31095869;1789952;8863744
1700515994.673370;/sys/fs/cgroup/custom.slice/pg2;8359275391;11020060233;3994632797;78481385;3584000;17727488
1700515995.672542;#SYSTEM;12756555998;18993385352;25974870674;111383019;104652800;1333100544
1700515995.672542;/sys/fs/cgroup/custom.slice/pg1;4177131143;7737669114;1996400427;31071504;1789952;8863744
1700515995.672542;/sys/fs/cgroup/custom.slice/pg2;8368294894;11034786778;3998977573;78551990;3584000;17727488
1700515996.671719;#SYSTEM;12692448236;18924476894;25978499922;110685061;104652800;1333100544
1700515996.671719;/sys/fs/cgroup/custom.slice/pg1;4177593791;7738603085;1996631332;31077694;1789952;8863744
1700515996.671719;/sys/fs/cgroup/custom.slice/pg2;8368278475;11036141172;3998987412;78524793;3584000;17727488
1700515997.670897;#SYSTEM;12629001717;18854040246;25975977979;110310712;104652800;1333108736
1700515997.670897;/sys/fs/cgroup/custom.slice/pg1;4177922966;7739115990;1996761107;31081541;1789952;8863744
1700515997.670897;/sys/fs/cgroup/custom.slice/pg2;8368541056;11040449572;3999091944;78472500;3584000;17727488
1700515998.670004;#SYSTEM;12757083198;18998553094;25976456614;111315080;104652800;1333108736
1700515998.670004;/sys/fs/cgroup/custom.slice/pg1;4177093959;7738188351;1996368742;31068496;1789952;8863744
1700515998.670004;/sys/fs/cgroup/custom.slice/pg2;8368206802;11039288774;3998951557;78472950;3584000;17727488
1700515999.669137;#SYSTEM;12757457654;18999898910;25978192869;111303234;104652800;1333116928
1700515999.669137;/sys/fs/cgroup/custom.slice/pg1;4183647895;7749354772;1999495569;31135304;1789952;8863744
1700515999.669137;/sys/fs/cgroup/custom.slice/pg2;8362284581;11033261754;3996110664;78371287;3584000;17727488
1700516000.668196;#SYSTEM;12758156056;18998762811;25976675776;111316445;104652800;1333116928
1700516000.668196;/sys/fs/cgroup/custom.slice/pg1;4184652565;7751975088;2000016542;31134420;1789952;8863744
1700516000.668196;/sys/fs/cgroup/custom.slice/pg2;8356792766;11026423936;3993482285;78315791;3584000;17727488
1700516001.667395;#SYSTEM;12763277548;19006570779;25979118630;111353869;104652800;1333125120
1700516001.667395;/sys/fs/cgroup/custom.slice/pg1;4184681834;7751678723;2000020524;31135114;1789952;8863744
1700516001.667395;/sys/fs/cgroup/custom.slice/pg2;8358141153;11026753317;3994099133;78349322;3584000;17727488
1700516002.666379;#SYSTEM;12758499157;19001143096;25978224120;111335764;104652800;1333137408
1700516002.666379;/sys/fs/cgroup/custom.slice/pg1;4184580347;7751134834;1999962599;31147679;1789952;8863744
1700516002.666379;/sys/fs/cgroup/custom.slice/pg2;8357469438;11024405481;3993805511;78345268;3584000;17727488
1700516003.665460;#SYSTEM;12755393965;18998917722;25976098579;111294117;104652800;1333137408
1700516003.665460;/sys/fs/cgroup/custom.slice/pg1;4183019621;7748732632;1999224179;31132097;1789952;8863744
1700516003.665460;/sys/fs/cgroup/custom.slice/pg2;8356797836;11025534332;3993461541;78337807;3584000;17727488
1700516004.664721;#SYSTEM;12755174740;18997628137;25975238355;111282306;104652800;1333137408
1700516004.664721;/sys/fs/cgroup/custom.slice/pg1;4177068903;7736907561;1996376722;31090824;1789952;8863744
1700516004.664721;/sys/fs/cgroup/custom.slice/pg2;8367639928;11038939335;3998662297;78438019;3584000;17727488
1700516005.663596;#SYSTEM;12754037969;18997586573;25976109707;111272863;104652800;1333141504
1700516005.663596;/sys/fs/cgroup/custom.slice/pg1;4176830931;7737560092;1996256238;31077717;1789952;8863744
1700516005.663596;/sys/fs/cgroup/custom.slice/pg2;8368319740;11039303863;3998981874;78443870;3584000;17727488
1700516006.662873;#SYSTEM;12754310605;18998660684;25977845177;111286469;104652800;1333141504
1700516006.662873;/sys/fs/cgroup/custom.slice/pg1;4178475399;7739772408;1997021464;31104496;1789952;8863744
1700516006.662873;/sys/fs/cgroup/custom.slice/pg2;8368606016;11040976311;3999129912;78437242;3584000;17727488
1700516007.662267;#SYSTEM;12741596199;18986328142;25976091736;111052889;104652800;1333149696
1700516007.662267;/sys/fs/cgroup/custom.slice/pg1;4177400089;7737941694;1996509343;31089672;1789952;8863744
1700516007.662267;/sys/fs/cgroup/custom.slice/pg2;8368573962;11043206853;3999113260;78437629;3584000;17727488
1700516008.661443;#SYSTEM;12578865693;18802131569;25978251923;109836427;104652800;1333157888
1700516008.661443;/sys/fs/cgroup/custom.slice/pg1;4181507596;7746240734;1998473377;31111123;1789952;8863744
1700516008.661443;/sys/fs/cgroup/custom.slice/pg2;8365991012;11041395138;3997888658;78403681;3584000;17727488
1700516009.660478;#SYSTEM;12758140770;19004056990;25975283583;111298853;104689664;1333161984
1700516009.660478;/sys/fs/cgroup/custom.slice/pg1;4184740832;7752517405;2000023924;31135678;1789952;8863744
1700516009.660478;/sys/fs/cgroup/custom.slice/pg2;8356139512;11029146010;3993145353;78312899;3584000;17727488
1700516010.659685;#SYSTEM;12758907243;19005405913;25979440320;111300659;104919040;1333161984
1700516010.659685;/sys/fs/cgroup/custom.slice/pg1;4184787528;7751774968;2000065896;31133796;1789952;8863744
1700516010.659685;/sys/fs/cgroup/custom.slice/pg2;8358357549;11031623574;3994204340;78331637;3584000;17727488
1700516011.658701;#SYSTEM;12763153590;19013596574;25977171364;111312468;104919040;1333161984
1700516011.658701;/sys/fs/cgroup/custom.slice/pg1;4184734052;7753676803;2000048521;31113960;1789952;8863744
1700516011.658701;/sys/fs/cgroup/custom.slice/pg2;8356015596;11028035765;3993069185;78310144;3584000;17727488
1700516012.657629;#SYSTEM;12758508970;19006106011;25977178433;111284037;104919040;1333170176
1700516012.657629;/sys/fs/cgroup/custom.slice/pg1;4184244312;7751562823;1999826126;31122387;1789952;8863744
1700516012.657629;/sys/fs/cgroup/custom.slice/pg2;8356769137;11029911876;3993465045;78314614;3584000;17727488
1700516013.656818;#SYSTEM;12755297096;19003706137;25976772351;111269383;104919040;1333186560
1700516013.656818;/sys/fs/cgroup/custom.slice/pg1;4178563882;7741613357;1997074644;31078832;1789952;8863744
1700516013.656818;/sys/fs/cgroup/custom.slice/pg2;8366081038;11042069179;3997855863;78402433;3584000;17727488
1700516014.656190;#SYSTEM;9598344872;13134341351;27489302046;87676045;103129088;1324322816
1700516014.656190;/sys/fs/cgroup/custom.slice/pg1;1007508676;1856488579;482304190;7462592;0;0
1700516014.656190;/sys/fs/cgroup/custom.slice/pg2;8368562770;11047039109;3999115439;78399468;3584000;17727488
1700516015.655361;#SYSTEM;8569411137;11252402292;27974011088;80092991;103129088;1324322816
1700516015.655361;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700516015.655361;/sys/fs/cgroup/custom.slice/pg2;8368778655;11047608687;3999185943;78401388;3584000;17727488
1700516016.654644;#SYSTEM;8574810563;11256935623;27974529950;80127516;103129088;1324326912
1700516016.654644;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700516016.654644;/sys/fs/cgroup/custom.slice/pg2;8368297746;11045948917;3998987621;78394735;3584000;17727488
1700516017.653800;#SYSTEM;8576749735;11263771014;27975506117;80140673;103129088;1324326912
1700516017.653800;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700516017.653800;/sys/fs/cgroup/custom.slice/pg2;8368381176;11047618252;3998990535;78372182;3584000;17727488
1700516018.652926;#SYSTEM;8577707933;11265969549;27976684551;80153589;103129088;1324335104
1700516018.652926;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700516018.652926;/sys/fs/cgroup/custom.slice/pg2;8360077727;11037159231;3995024744;78304799;3584000;17727488
1700516019.652018;#SYSTEM;8422204698;11087795280;27974893634;78709819;103129088;1324343296
1700516019.652018;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700516019.652018;/sys/fs/cgroup/custom.slice/pg2;8356453778;11029677718;3993275621;78276150;3584000;17727488
1700516020.651221;#SYSTEM;8539601086;11227451285;27978321075;79889071;103129088;1324343296
1700516020.651221;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700516020.651221;/sys/fs/cgroup/custom.slice/pg2;8358820690;11034336923;3994422242;78265111;3584000;17727488
