TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_MISSES;MEMORY_ANON;MEMORY_FILE
1700088328.576695;#SYSTEM;54858772;45513797;8265078;330871;92823552;1309462528
1700088328.576695;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700088329.576487;#SYSTEM;258937718;243016261;40326297;1949379;95068160;1320554496
1700088329.576487;/sys/fs/cgroup/custom.slice/pg1;151434669;151714546;20421375;1318183;2236416;11079680
1700088330.575645;#SYSTEM;5454233403;7843283966;865157446;85554072;97824768;1320484864
1700088330.575645;/sys/fs/cgroup/custom.slice/pg1;5224083074;7615098430;820508990;83680759;2236416;11079680
1700088331.574737;#SYSTEM;5434248904;7833384279;863574403;85461321;98029568;1320484864
1700088331.574737;/sys/fs/cgroup/custom.slice/pg1;5222948715;7614089998;820377505;83662821;2236416;11079680
1700088332.573837;#SYSTEM;5432255653;7831744748;863291495;85448341;98062336;1320488960
1700088332.573837;/sys/fs/cgroup/custom.slice/pg1;5226986233;7620048883;821036629;83730129;2236416;11079680
1700088333.572773;#SYSTEM;5437726369;7831927439;863514645;85526852;100290560;1320488960
1700088333.572773;/sys/fs/cgroup/custom.slice/pg1;5231975243;7627495332;821835639;83815631;2236416;11079680
1700088334.571977;#SYSTEM;5435802502;7834947236;863739680;85489336;100556800;1320497152
1700088334.571977;/sys/fs/cgroup/custom.slice/pg1;5231858418;7627259599;821809631;83813470;2236416;11079680
1700088335.571254;#SYSTEM;5441283722;7844318909;865113416;85553392;100556800;1320509440
1700088335.571254;/sys/fs/cgroup/custom.slice/pg1;5232015036;7626644699;821751694;83804578;2236416;11079680
1700088336.570301;#SYSTEM;5441540767;7847795103;865353416;85586329;100556800;1320509440
1700088336.570301;/sys/fs/cgroup/custom.slice/pg1;5231722466;7626975218;821777189;83803559;2236416;11079680
1700088337.569442;#SYSTEM;5442188619;7847702979;865334384;85593722;100556800;1320513536
1700088337.569442;/sys/fs/cgroup/custom.slice/pg1;5223133560;7614650901;820453289;83668592;2236416;11079680
