TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_MISSES;MEMORY_ANON;MEMORY_FILE
1699994262.358222;#SYSTEM;57057930;47892320;8685195;343315;96268288;1152094208
1699994262.358222;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1699994263.367244;#SYSTEM;1248928421;554778755;100096992;3791482;112979968;1237127168
1699994263.367244;/sys/fs/cgroup/custom.slice/pg1;933251501;343861355;56818780;2153145;15892480;85258240
1699994264.355161;#SYSTEM;33386541624;47010085332;5117232157;514941422;120442880;1258520576
1699994264.355161;/sys/fs/cgroup/custom.slice/pg1;33082360996;46688678756;5056499175;512367194;21430272;106364928
1699994265.354143;#SYSTEM;33515928169;48601034180;5260044996;534564571;120975360;1258520576
1699994265.354143;/sys/fs/cgroup/custom.slice/pg1;33305473135;48379393458;5212835710;532925855;21430272;106364928
1699994266.353151;#SYSTEM;33556593676;48683631967;5268994088;535520163;121221120;1258524672
1699994266.353151;/sys/fs/cgroup/custom.slice/pg1;33344781534;48460206186;5221484352;533800229;21430272;106364928
1699994267.352251;#SYSTEM;33561582405;48703877471;5271239903;535201172;123387904;1258532864
1699994267.352251;/sys/fs/cgroup/custom.slice/pg1;33341021013;48473304908;5222842419;533384091;21430272;106364928
1699994268.351284;#SYSTEM;33567572917;48766080547;5278140864;535136211;123809792;1258545152
1699994268.351284;/sys/fs/cgroup/custom.slice/pg1;33336158662;48503440029;5226188282;533137189;21430272;106364928
1699994269.350396;#SYSTEM;33581237120;48777019184;5279589605;535271921;124153856;1258545152
1699994269.350396;/sys/fs/cgroup/custom.slice/pg1;33320342694;48477835667;5223421038;532873142;21430272;106364928
1699994270.349434;#SYSTEM;33574189378;48769691707;5278484509;535245684;124162048;1258545152
1699994270.349434;/sys/fs/cgroup/custom.slice/pg1;33328621669;48491753224;5224918670;532993638;21430272;106364928
1699994271.348503;#SYSTEM;33575112297;48772368421;5278288384;535332148;124162048;1258549248
1699994271.348503;/sys/fs/cgroup/custom.slice/pg1;33328467970;48490912731;5224804930;533031551;21430272;106364928
1699994272.347655;#SYSTEM;33481860420;48680720831;5248375398;535371233;124162048;1258549248
1699994272.347655;/sys/fs/cgroup/custom.slice/pg1;33424163963;48612866181;5237887339;534775853;21430272;106364928
1699994273.346619;#SYSTEM;33545676640;48747653964;5273511252;535126504;124162048;1258549248
1699994273.346619;/sys/fs/cgroup/custom.slice/pg1;33351150553;48529789280;5228983095;533442610;21430272;106364928
1699994274.345657;#SYSTEM;33550714561;48745140031;5275638874;534983158;124162048;1258561536
1699994274.345657;/sys/fs/cgroup/custom.slice/pg1;33350263004;48534281232;5229422358;533431093;21430272;106364928
1699994275.344749;#SYSTEM;33560652587;48761400169;5277099719;535154265;124162048;1258561536
1699994275.344749;/sys/fs/cgroup/custom.slice/pg1;33342182004;48518827275;5227776668;533358009;21430272;106364928
1699994276.343804;#SYSTEM;33559904847;48763085018;5277451740;535135942;124162048;1258561536
1699994276.343804;/sys/fs/cgroup/custom.slice/pg1;33342544297;48523280290;5228316362;533343847;21430272;106364928
1699994277.342887;#SYSTEM;33571575726;48780867953;5279171059;535340505;124162048;1258565632
1699994277.342887;/sys/fs/cgroup/custom.slice/pg1;33332870514;48511888691;5227025812;533194518;21430272;106364928
1699994278.341943;#SYSTEM;33575479419;48787543779;5280077558;535384361;124162048;1258565632
1699994278.341943;/sys/fs/cgroup/custom.slice/pg1;33326390819;48499826159;5225803434;533068816;21430272;106364928
1699994279.341015;#SYSTEM;33575673711;48765829512;5277732716;535203020;124440576;1258582016
1699994279.341015;/sys/fs/cgroup/custom.slice/pg1;33325576294;48482486797;5223886256;532871252;21430272;106364928
1699994280.340075;#SYSTEM;33576626793;48758454409;5276879140;535128754;124440576;1258582016
1699994280.340075;/sys/fs/cgroup/custom.slice/pg1;33326520012;48474004005;5222936365;532765043;21430272;106364928
1699994281.339156;#SYSTEM;33555445001;48736526227;5272217828;534807663;124440576;1258582016
1699994281.339156;/sys/fs/cgroup/custom.slice/pg1;33345521383;48508199293;5226576439;533093234;21430272;106364928
1699994282.338187;#SYSTEM;33462570044;48642220200;5244322085;535222676;124440576;1258590208
1699994282.338187;/sys/fs/cgroup/custom.slice/pg1;33439370839;48628538997;5239598396;534886961;21430272;106364928
1699994283.337257;#SYSTEM;33562472078;48690855994;5269685127;535660673;124440576;1258590208
1699994283.337257;/sys/fs/cgroup/custom.slice/pg1;33339968636;48458024586;5221173345;533728919;21430272;106364928
1699994284.336322;#SYSTEM;33560677883;48755738451;5276720906;535112589;124440576;1258590208
1699994284.336322;/sys/fs/cgroup/custom.slice/pg1;33341845003;48520835305;5228000907;533271438;21430272;106364928
1699994285.335351;#SYSTEM;33558013838;48745290538;5275411849;535001375;124440576;1258606592
1699994285.335351;/sys/fs/cgroup/custom.slice/pg1;33344388562;48515250343;5227440131;533220630;21430272;106364928
1699994286.334452;#SYSTEM;33580189977;48780139227;5279287405;535357962;124440576;1258606592
1699994286.334452;/sys/fs/cgroup/custom.slice/pg1;33323216760;48484820579;5224139263;532917205;21430272;106364928
1699994287.333537;#SYSTEM;33573354995;48767750742;5277795901;535228352;124440576;1258610688
1699994287.333537;/sys/fs/cgroup/custom.slice/pg1;33329635829;48487066482;5224442110;532997025;21430272;106364928
1699994288.332591;#SYSTEM;33576450662;48775579934;5278703669;535289660;124440576;1258610688
1699994288.332591;/sys/fs/cgroup/custom.slice/pg1;33325206098;48486273923;5224323752;532924529;21430272;106364928
1699994289.331724;#SYSTEM;33578479179;48775110102;5278724265;535283657;124440576;1258610688
1699994289.331724;/sys/fs/cgroup/custom.slice/pg1;33327122551;48487038411;5224438900;532949608;21430272;106364928
1699994290.330722;#SYSTEM;33559730297;48739851941;5274882123;534957070;124440576;1258622976
1699994290.330722;/sys/fs/cgroup/custom.slice/pg1;33337329194;48496564079;5225393703;533044582;21430272;106364928
1699994291.329807;#SYSTEM;33517497128;48710458195;5263310922;534626466;124456960;1258631168
1699994291.329807;/sys/fs/cgroup/custom.slice/pg1;33384646519;48567293387;5233020396;533797793;21430272;106364928
1699994292.328854;#SYSTEM;33491575513;48650202000;5252833154;535325523;124456960;1258631168
1699994292.328854;/sys/fs/cgroup/custom.slice/pg1;33409524150;48561058738;5232365386;534567402;21430272;106364928
1699994293.327920;#SYSTEM;33558650669;48654236340;5265624926;535443572;124456960;1258635264
1699994293.327920;/sys/fs/cgroup/custom.slice/pg1;33343112156;48426744523;5217849626;533636574;21430272;106364928
1699994294.326968;#SYSTEM;33565026957;48740299395;5275211299;535069872;124456960;1258635264
1699994294.326968;/sys/fs/cgroup/custom.slice/pg1;33339673609;48502508677;5225988511;533075288;21430272;106364928
1699994295.326049;#SYSTEM;33582095247;48764348425;5277420251;535306891;124456960;1258639360
1699994295.326049;/sys/fs/cgroup/custom.slice/pg1;33319820564;48470315370;5222574207;532746779;21430272;106364928
1699994296.325092;#SYSTEM;33577476250;48723575962;5273272115;535542690;124456960;1258651648
1699994296.325092;/sys/fs/cgroup/custom.slice/pg1;33324112757;48434780747;5218752779;533163713;21430272;106364928
1699994297.324168;#SYSTEM;33574255337;48648290082;5264923182;535881685;124456960;1258651648
1699994297.324168;/sys/fs/cgroup/custom.slice/pg1;33328022820;48369910200;5211738794;533593372;21430272;106364928
1699994298.323268;#SYSTEM;33573391917;48764067103;5277527415;535330281;124456960;1258655744
1699994298.323268;/sys/fs/cgroup/custom.slice/pg1;33326032302;48485052502;5224136564;533026540;21430272;106364928
1699994299.322286;#SYSTEM;33560911010;48748663937;5275854218;535080773;124456960;1258655744
1699994299.322286;/sys/fs/cgroup/custom.slice/pg1;33341188982;48513023303;5227161732;533236893;21430272;106364928
1699994300.321358;#SYSTEM;33555883211;48741241715;5274984575;535026497;124456960;1258659840
1699994300.321358;/sys/fs/cgroup/custom.slice/pg1;33348032426;48520316858;5227970987;533340406;21430272;106364928
1699994301.320475;#SYSTEM;33477103427;48666341533;5250436434;534581553;124456960;1258676224
1699994301.320475;/sys/fs/cgroup/custom.slice/pg1;33427582515;48637391165;5240552382;534593282;21430272;106364928
1699994302.319400;#SYSTEM;33519927535;48731568392;5268264734;535215977;124456960;1258680320
1699994302.319400;/sys/fs/cgroup/custom.slice/pg1;33379170412;48570107709;5233317795;533870166;21430272;106364928
1699994303.318554;#SYSTEM;33573814678;48750966285;5276072436;535122568;124456960;1258680320
1699994303.318554;/sys/fs/cgroup/custom.slice/pg1;33331163206;48487381548;5224338517;532866973;21430272;106364928
1699994304.317589;#SYSTEM;33578145689;48748862067;5275970564;535142196;124493824;1258684416
