TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_SW_CPU_CLOCK;PERF_COUNT_HW_BRANCH_MISSES;MEMORY_ANON;MEMORY_FILE
1700528461.872202;#SYSTEM;91267311;65360650;606292961;456185;93872128;1366843392
1700528461.872202;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700528461.872202;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1700528462.870893;#SYSTEM;876001570;347603537;31616914831;2098937;103313408;1420034048
1700528462.870893;/sys/fs/cgroup/custom.slice/pg1;252286802;63199082;142193694;236549;3178496;17727488
1700528462.870893;/sys/fs/cgroup/custom.slice/pg2;396487813;91187848;198715436;340316;6254592;35454976
1700528463.870092;#SYSTEM;25338495909;42533883522;19992170020;290270229;107384832;1419956224
1700528463.870092;/sys/fs/cgroup/custom.slice/pg1;8355496510;12053666297;3999668507;132289817;3567616;17727488
1700528463.870092;/sys/fs/cgroup/custom.slice/pg2;16692706139;30215908561;7987959621;155967768;7180288;35454976
1700528464.868950;#SYSTEM;25320113137;43342480398;19978335679;295814239;107642880;1419960320
1700528464.868950;/sys/fs/cgroup/custom.slice/pg1;8356843443;12200498843;3993521169;134007570;3567616;17727488
1700528464.868950;/sys/fs/cgroup/custom.slice/pg2;16723181102;30893734367;7991533114;159597409;7180288;35454976
1700528465.867980;#SYSTEM;25321425060;43343333302;19980244292;295831596;108011520;1419960320
1700528465.867980;/sys/fs/cgroup/custom.slice/pg1;8358587382;12204135213;3994323009;134038922;3567616;17727488
1700528465.867980;/sys/fs/cgroup/custom.slice/pg2;16730227497;30903933868;7994920608;159636026;7180288;35454976
1700528466.867239;#SYSTEM;25326807013;43352179659;19983134627;295888848;110088192;1419976704
1700528466.867239;/sys/fs/cgroup/custom.slice/pg1;8360443959;12206342785;3995179442;134070303;3567616;17727488
1700528466.867239;/sys/fs/cgroup/custom.slice/pg2;16731638072;30907539311;7995567179;159643495;7180288;35454976
1700528467.866256;#SYSTEM;25323961213;43348781083;19979368250;295813877;110309376;1419980800
1700528467.866256;/sys/fs/cgroup/custom.slice/pg1;8357946917;12202948567;3994005759;134028596;3567616;17727488
1700528467.866256;/sys/fs/cgroup/custom.slice/pg2;16730178096;30900596486;7994863598;159621504;7180288;35454976
1700528468.865510;#SYSTEM;25327390134;43359757387;19983969350;295852105;110641152;1419980800
1700528468.865510;/sys/fs/cgroup/custom.slice/pg1;8364795244;12212871543;3997263189;134137011;3567616;17727488
1700528468.865510;/sys/fs/cgroup/custom.slice/pg2;16728257011;30900074283;7993961450;159612250;7180288;35454976
1700528469.864618;#SYSTEM;25325687872;43357107973;19982849522;295833523;110641152;1419984896
1700528469.864618;/sys/fs/cgroup/custom.slice/pg1;8366642382;12214911112;3998198536;134177233;3567616;17727488
1700528469.864618;/sys/fs/cgroup/custom.slice/pg2;16720192066;30882568429;7990090182;159522475;7180288;35454976
1700528470.863693;#SYSTEM;25323577993;43351105992;19981750443;295805965;110641152;1419988992
1700528470.863693;/sys/fs/cgroup/custom.slice/pg1;8366447902;12215712893;3998076509;134168047;3567616;17727488
1700528470.863693;/sys/fs/cgroup/custom.slice/pg2;16718369008;30878925521;7989218718;159475850;7180288;35454976
1700528471.862835;#SYSTEM;25271835258;43313993807;19983425350;295128491;110641152;1419988992
1700528471.862835;/sys/fs/cgroup/custom.slice/pg1;8366695698;12215413122;3998204910;134171033;3567616;17727488
1700528471.862835;/sys/fs/cgroup/custom.slice/pg2;16720175524;30888112201;7990057429;159550074;7180288;35454976
1700528472.862154;#SYSTEM;25175768803;43186466842;19984827982;294692570;110641152;1419997184
1700528472.862154;/sys/fs/cgroup/custom.slice/pg1;8367353435;12216223498;3998544789;134183111;3567616;17727488
1700528472.862154;/sys/fs/cgroup/custom.slice/pg2;16724703318;30894962884;7992203440;159580430;7180288;35454976
1700528473.861371;#SYSTEM;25320820628;43350051044;19981199173;295860949;110641152;1420001280
1700528473.861371;/sys/fs/cgroup/custom.slice/pg1;8359570868;12205042272;3994750532;134056794;3567616;17727488
1700528473.861371;/sys/fs/cgroup/custom.slice/pg2;16724889734;30895681515;7992254610;159583990;7180288;35454976
1700528474.860366;#SYSTEM;25323433922;43353049565;19981230675;295899961;110641152;1420009472
1700528474.860366;/sys/fs/cgroup/custom.slice/pg1;8359377052;12204697109;3994682369;134053032;3567616;17727488
1700528474.860366;/sys/fs/cgroup/custom.slice/pg2;16730795178;30910425994;7995172495;159660519;7180288;35454976
1700528475.859446;#SYSTEM;25318752200;43344869886;19980657910;295853325;110641152;1420009472
1700528475.859446;/sys/fs/cgroup/custom.slice/pg1;8359114955;12204727151;3994568804;134050532;3567616;17727488
1700528475.859446;/sys/fs/cgroup/custom.slice/pg2;16730890319;30906981146;7995224270;159641974;7180288;35454976
1700528476.858632;#SYSTEM;25321063651;43350261575;19981960516;295857793;110641152;1420013568
1700528476.858632;/sys/fs/cgroup/custom.slice/pg1;8360028625;12205933359;3995044113;134066892;3567616;17727488
1700528476.858632;/sys/fs/cgroup/custom.slice/pg2;16731221431;30906222261;7995405745;159641318;7180288;35454976
1700528477.857691;#SYSTEM;25324082647;43360649670;19982074296;295852424;110641152;1420025856
1700528477.857691;/sys/fs/cgroup/custom.slice/pg1;8361449687;12207704260;3995660038;134085126;3567616;17727488
1700528477.857691;/sys/fs/cgroup/custom.slice/pg2;16730265429;30911364584;7994887213;159667639;7180288;35454976
1700528478.856907;#SYSTEM;25326309356;43356491433;19983039120;295853825;110678016;1420034048
1700528478.856907;/sys/fs/cgroup/custom.slice/pg1;8366474242;12215766587;3998105454;134168880;3567616;17727488
1700528478.856907;/sys/fs/cgroup/custom.slice/pg2;16720938564;30885488425;7990419756;159525336;7180288;35454976
1700528479.856017;#SYSTEM;25324715261;43354444624;19982388146;295847350;110903296;1420038144
1700528479.856017;/sys/fs/cgroup/custom.slice/pg1;8366527642;12215491772;3998121498;134168790;3567616;17727488
1700528479.856017;/sys/fs/cgroup/custom.slice/pg2;16719469322;30883896012;7989711486;159517130;7180288;35454976
1700528480.854991;#SYSTEM;25324639730;43353163226;19982991107;295832433;110911488;1420042240
1700528480.854991;/sys/fs/cgroup/custom.slice/pg1;8366361313;12214902060;3998074365;134164238;3567616;17727488
1700528480.854991;/sys/fs/cgroup/custom.slice/pg2;16719221639;30879757171;7989624131;159501816;7180288;35454976
1700528481.854373;#SYSTEM;25286408999;43315578444;19984154337;295230338;110911488;1420042240
1700528481.854373;/sys/fs/cgroup/custom.slice/pg1;8367041710;12215840550;3998362920;134173617;3567616;17727488
1700528481.854373;/sys/fs/cgroup/custom.slice/pg2;16722025450;30882860918;7990921708;159539027;7180288;35454976
1700528482.853502;#SYSTEM;25150180540;43155137171;19982498883;294501860;110911488;1420042240
1700528482.853502;/sys/fs/cgroup/custom.slice/pg1;8362643843;12209522669;3996250012;134109285;3567616;17727488
1700528482.853502;/sys/fs/cgroup/custom.slice/pg2;16724130535;30892542178;7991886326;159573804;7180288;35454976
1700528483.852661;#SYSTEM;25324634251;43345901978;19981423104;295876146;110911488;1420058624
1700528483.852661;/sys/fs/cgroup/custom.slice/pg1;8359478841;12205195528;3994766599;134054012;3567616;17727488
1700528483.852661;/sys/fs/cgroup/custom.slice/pg2;16730977175;30903480700;7995283478;159631506;7180288;35454976
1700528484.851723;#SYSTEM;25320328433;43339125841;19980377039;295814257;110911488;1420062720
1700528484.851723;/sys/fs/cgroup/custom.slice/pg1;8358579156;12203437945;3994352042;134040681;3567616;17727488
1700528484.851723;/sys/fs/cgroup/custom.slice/pg2;16730038390;30895769570;7994845525;159606425;7180288;35454976
1700528485.850901;#SYSTEM;25321046803;43338492762;19981897349;295811377;110911488;1420062720
1700528485.850901;/sys/fs/cgroup/custom.slice/pg1;8359863898;12205421357;3994905252;134061234;3567616;17727488
1700528485.850901;/sys/fs/cgroup/custom.slice/pg2;16731587094;30894272207;7995574234;159590387;7180288;35454976
1700528486.849982;#SYSTEM;25321074157;43344145263;19981463449;295779546;110911488;1420066816
1700528486.849982;/sys/fs/cgroup/custom.slice/pg1;8359243351;12205015559;3994604384;134049004;3567616;17727488
1700528486.849982;/sys/fs/cgroup/custom.slice/pg2;16730423119;30896605479;7994989574;159592504;7180288;35454976
1700528487.849347;#SYSTEM;25324733436;43350672605;19982995420;295812440;110911488;1420070912
1700528487.849347;/sys/fs/cgroup/custom.slice/pg1;8366730378;12215494716;3998192451;134171605;3567616;17727488
1700528487.849347;/sys/fs/cgroup/custom.slice/pg2;16725069215;30886665689;7992389325;159552574;7180288;35454976
1700528488.848353;#SYSTEM;25326879280;43353251524;19983122711;295835985;110911488;1420083200
1700528488.848353;/sys/fs/cgroup/custom.slice/pg1;8366493964;12215496714;3998129588;134164139;3567616;17727488
1700528488.848353;/sys/fs/cgroup/custom.slice/pg2;16720038026;30880246152;7990042295;159520490;7180288;35454976
1700528489.847448;#SYSTEM;25324385161;43352298591;19982211557;295832336;110915584;1420087296
1700528489.847448;/sys/fs/cgroup/custom.slice/pg1;8366626641;12215717589;3998191492;134176684;3567616;17727488
1700528489.847448;/sys/fs/cgroup/custom.slice/pg2;16719383116;30879615882;7989653996;159506038;7180288;35454976
1700528490.846659;#SYSTEM;25326379583;43352575504;19984705201;295853774;110915584;1420087296
1700528490.846659;/sys/fs/cgroup/custom.slice/pg1;8366970088;12216207507;3998321042;134176236;3567616;17727488
1700528490.846659;/sys/fs/cgroup/custom.slice/pg2;16721789437;30881343435;7990823972;159521186;7180288;35454976
1700528491.845865;#SYSTEM;25310367463;43327968133;19981292406;295556215;110915584;1420087296
1700528491.845865;/sys/fs/cgroup/custom.slice/pg1;8364445281;12212618654;3997104362;134134532;3567616;17727488
1700528491.845865;/sys/fs/cgroup/custom.slice/pg2;16722068247;30876655076;7990937050;159512749;7180288;35454976
1700528492.844917;#SYSTEM;25119072897;43116215423;19982514204;294038517;110915584;1420091392
1700528492.844917;/sys/fs/cgroup/custom.slice/pg1;8360082455;12206210136;3995088476;134068792;3567616;17727488
1700528492.844917;/sys/fs/cgroup/custom.slice/pg2;16729009377;30895298601;7994245130;159570195;7180288;35454976
1700528493.844002;#SYSTEM;25320729609;43337211772;19980357946;295824550;110915584;1420095488
1700528493.844002;/sys/fs/cgroup/custom.slice/pg1;8358776792;12204047254;3994381219;134041667;3567616;17727488
1700528493.844002;/sys/fs/cgroup/custom.slice/pg2;16730602631;30897792572;7995059195;159591786;7180288;35454976
1700528494.843879;#SYSTEM;20542738599;36336516532;22265033383;218918251;107347968;1402376192
1700528494.843879;/sys/fs/cgroup/custom.slice/pg1;3575104255;5212840814;1712590460;57134806;0;0
1700528494.843879;/sys/fs/cgroup/custom.slice/pg2;16737133961;30910609751;7999913300;159649438;7180288;35454976
1700528495.843093;#SYSTEM;16572933084;30407584963;24167103162;157943772;102866944;1380225024
1700528495.843093;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700528495.843093;/sys/fs/cgroup/custom.slice/pg2;16326282647;30146220023;7806328580;155698219;2699264;13295616
1700528496.843126;#SYSTEM;531798371;775597921;31851806395;4876414;100167680;1366929408
1700528496.843126;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700528496.843126;/sys/fs/cgroup/custom.slice/pg2;282861454;515548968;136607212;2651011;0;0
1700528497.842262;#SYSTEM;221831686;231703139;31971393734;2039317;100167680;1366929408
1700528497.842262;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700528497.842262;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1700528498.841078;#SYSTEM;217856607;230548248;31970491560;2002303;100167680;1366929408
1700528498.841078;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700528498.841078;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1700528499.840262;#SYSTEM;219321828;230866848;31972478265;2012963;100167680;1366937600
1700528499.840262;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700528499.840262;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
