TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_MISSES;MEMORY_ANON;MEMORY_FILE
1700094062.624389;#SYSTEM;59884093;36937925;6918447;248314;92884992;1328578560
1700094062.624389;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700094063.623421;#SYSTEM;480993627;305387798;59448514;1861467;97800192;1352957952
1700094063.623421;/sys/fs/cgroup/custom.slice/pg1;266019921;110094164;20963675;406928;4907008;24375296
1700094064.622980;#SYSTEM;11719044464;15327440063;1727388421;110080367;100503552;1352867840
1700094064.622980;/sys/fs/cgroup/custom.slice/pg1;11462443740;15078311478;1679760668;108073247;4907008;24375296
1700094065.621838;#SYSTEM;11709161917;15348740537;1728951575;109899803;100683776;1352867840
1700094065.621838;/sys/fs/cgroup/custom.slice/pg1;11497732347;15130456674;1685494260;108106774;4907008;24375296
1700094066.620878;#SYSTEM;11706339747;15346394584;1728682868;109848313;100990976;1352876032
1700094066.620878;/sys/fs/cgroup/custom.slice/pg1;11505911795;15143788586;1686909179;108139132;4907008;24375296
1700094067.620157;#SYSTEM;11712222196;15356664264;1729787761;109785896;103022592;1352876032
1700094067.620157;/sys/fs/cgroup/custom.slice/pg1;11507251418;15148865292;1687610774;108075567;4907008;24375296
1700094068.619263;#SYSTEM;11713198856;15360225241;1730792043;109775320;103251968;1352888320
1700094068.619263;/sys/fs/cgroup/custom.slice/pg1;11506427449;15148496510;1687521863;108023250;4907008;24375296
1700094069.618364;#SYSTEM;11719388027;15369247796;1731690118;109848414;103251968;1352888320
1700094069.618364;/sys/fs/cgroup/custom.slice/pg1;11506279505;15149328072;1687612469;108045316;4907008;24375296
1700094070.617589;#SYSTEM;11721120430;15372963241;1731920795;109901643;103251968;1352888320
1700094070.617589;/sys/fs/cgroup/custom.slice/pg1;11497103990;15136078209;1686109270;107976677;4907008;24375296
1700094071.616678;#SYSTEM;11721320426;15374700132;1732027523;109841806;103510016;1352892416
1700094071.616678;/sys/fs/cgroup/custom.slice/pg1;11492771209;15132030633;1685734282;107885189;4907008;24375296
1700094072.615851;#SYSTEM;11721404665;15377460388;1732321420;109849300;103510016;1352900608
1700094072.615851;/sys/fs/cgroup/custom.slice/pg1;11491266807;15132374270;1685711374;107866987;4907008;24375296
1700094073.615002;#SYSTEM;11603648056;15239626019;1705281965;108613219;103510016;1352900608
1700094073.615002;/sys/fs/cgroup/custom.slice/pg1;11495787956;15139284814;1686495126;107875734;4907008;24375296
1700094074.614175;#SYSTEM;11629394944;15284494965;1714849543;109128822;103510016;1352912896
1700094074.614175;/sys/fs/cgroup/custom.slice/pg1;11497095492;15141275599;1686672635;107843914;4907008;24375296
1700094075.613291;#SYSTEM;11711639855;15366032265;1731221873;109677746;103510016;1352912896
1700094075.613291;/sys/fs/cgroup/custom.slice/pg1;11504734919;15152995072;1687990383;107913403;4907008;24375296
1700094076.612428;#SYSTEM;11709436109;15365299802;1730977730;109665439;103510016;1352912896
1700094076.612428;/sys/fs/cgroup/custom.slice/pg1;11504594634;15153029438;1688064688;107922169;4907008;24375296
1700094077.611642;#SYSTEM;11710061975;15368692965;1731353124;109648332;103510016;1352916992
1700094077.611642;/sys/fs/cgroup/custom.slice/pg1;11505146194;15156254574;1688385692;107905444;4907008;24375296
1700094078.610704;#SYSTEM;11714681835;15370277599;1731943222;109677801;103510016;1352925184
1700094078.610704;/sys/fs/cgroup/custom.slice/pg1;11504349531;15153446373;1688046743;107882482;4907008;24375296
1700094079.609907;#SYSTEM;11716822662;15374758256;1731841394;109710825;103510016;1352937472
1700094079.609907;/sys/fs/cgroup/custom.slice/pg1;11501122991;15150519811;1687700701;107852073;4907008;24375296
1700094080.609057;#SYSTEM;11717960844;15374820492;1731848621;109754024;103510016;1352937472
1700094080.609057;/sys/fs/cgroup/custom.slice/pg1;11496195860;15141837426;1686772762;107842301;4907008;24375296
1700094081.608179;#SYSTEM;11718683713;15379861949;1732663289;109735767;103510016;1352937472
1700094081.608179;/sys/fs/cgroup/custom.slice/pg1;11495595487;15142874988;1686902668;107820505;4907008;24375296
1700094082.607304;#SYSTEM;11719673319;15379668029;1732590859;109733307;103510016;1352945664
1700094082.607304;/sys/fs/cgroup/custom.slice/pg1;11495189354;15141909967;1686790876;107809360;4907008;24375296
1700094083.606511;#SYSTEM;11714548324;15375451002;1732177729;109645943;103546880;1352953856
1700094083.606511;/sys/fs/cgroup/custom.slice/pg1;11496650834;15145432106;1687213681;107783211;4907008;24375296
1700094084.605460;#SYSTEM;11603636687;15246770189;1706918785;108436416;103768064;1352953856
1700094084.605460;/sys/fs/cgroup/custom.slice/pg1;11500964406;15154093247;1688205025;107764467;4907008;24375296
