TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_MISSES;MEMORY_ANON;MEMORY_FILE
1700090900.643930;#SYSTEM;56091286;34416591;6418059;234504;92708864;1319124992
1700090900.643930;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700090901.642704;#SYSTEM;418593927;280475410;55837554;1751410;97198080;1341288448
1700090901.642704;/sys/fs/cgroup/custom.slice/pg1;248193682;119966946;23417786;674558;4481024;22159360
1700090902.642231;#SYSTEM;10677113792;10851803269;1978947161;152999139;99930112;1341198336
1700090902.642231;/sys/fs/cgroup/custom.slice/pg1;10436748744;10623157036;1933733378;151139374;4481024;22159360
1700090903.641233;#SYSTEM;10668362090;10861619531;1980589852;153204303;100114432;1341198336
1700090903.641233;/sys/fs/cgroup/custom.slice/pg1;10453983488;10641115166;1937001237;151389127;4481024;22159360
1700090904.640405;#SYSTEM;10666847840;10856867725;1979685819;153119947;100397056;1341206528
1700090904.640405;/sys/fs/cgroup/custom.slice/pg1;10454817487;10636189017;1936105163;151308493;4481024;22159360
1700090905.639553;#SYSTEM;10657873922;10838509827;1976381320;152833180;102445056;1341206528
1700090905.639553;/sys/fs/cgroup/custom.slice/pg1;10466688590;10641091675;1937001111;151376716;4481024;22159360
1700090906.638694;#SYSTEM;10672425052;10860278690;1980342853;153171074;102670336;1341218816
1700090906.638694;/sys/fs/cgroup/custom.slice/pg1;10458357398;10637798753;1936398561;151333895;4481024;22159360
1700090907.637905;#SYSTEM;10675755984;10862848337;1980920512;153163045;102670336;1341218816
1700090907.637905;/sys/fs/cgroup/custom.slice/pg1;10453414997;10630646280;1935102920;151230252;4481024;22159360
1700090908.636958;#SYSTEM;10675628949;10861446162;1980834954;153099991;102670336;1341218816
1700090908.636958;/sys/fs/cgroup/custom.slice/pg1;10450311563;10623899298;1933869823;151135682;4481024;22159360
1700090909.636233;#SYSTEM;10672887467;10863005210;1980919380;153170866;102670336;1341222912
1700090909.636233;/sys/fs/cgroup/custom.slice/pg1;10452845372;10632881196;1935506722;151259220;4481024;22159360
1700090910.635314;#SYSTEM;10664126896;10846937021;1977961835;152940072;102932480;1341231104
1700090910.635314;/sys/fs/cgroup/custom.slice/pg1;10449874300;10623049351;1933714688;151117936;4481024;22159360
1700090911.634434;#SYSTEM;10563383831;10732611874;1955238065;151963468;102932480;1341231104
1700090911.634434;/sys/fs/cgroup/custom.slice/pg1;10450480889;10627702001;1934562320;151184411;4481024;22159360
1700090912.633556;#SYSTEM;10568162087;10742557498;1957507323;152183142;102932480;1341243392
1700090912.633556;/sys/fs/cgroup/custom.slice/pg1;10458187267;10625087163;1934086427;151151181;4481024;22159360
1700090913.632651;#SYSTEM;10665247184;10839928657;1976721805;152843304;102932480;1341243392
1700090913.632651;/sys/fs/cgroup/custom.slice/pg1;10457628991;10622766030;1933662689;151114826;4481024;22159360
1700090914.631898;#SYSTEM;10669470378;10855118448;1979464998;153070348;102932480;1341243392
1700090914.631898;/sys/fs/cgroup/custom.slice/pg1;10458482112;10636363896;1936138477;151310213;4481024;22159360
1700090915.630965;#SYSTEM;10673841535;10864793953;1981263399;153193093;102932480;1341247488
1700090915.630965;/sys/fs/cgroup/custom.slice/pg1;10458001847;10638680601;1936559140;151341552;4481024;22159360
1700090916.630150;#SYSTEM;10671674521;10862977060;1980820020;153213124;102932480;1341251584
1700090916.630150;/sys/fs/cgroup/custom.slice/pg1;10456129606;10639019387;1936621074;151347844;4481024;22159360
1700090917.629270;#SYSTEM;10674554351;10856120602;1979688242;153078776;102932480;1341263872
1700090917.629270;/sys/fs/cgroup/custom.slice/pg1;10450231108;10622678685;1933647707;151113572;4481024;22159360
1700090918.628326;#SYSTEM;10676770946;10865636859;1981567134;153159836;102932480;1341263872
1700090918.628326;/sys/fs/cgroup/custom.slice/pg1;10450047294;10627792085;1934575497;151187933;4481024;22159360
1700090919.627677;#SYSTEM;10668955053;10862832938;1980871882;153165930;102932480;1341263872
1700090919.627677;/sys/fs/cgroup/custom.slice/pg1;10453174826;10637084772;1936269782;151318182;4481024;22159360
1700090920.626796;#SYSTEM;10663514710;10848369814;1978213140;152960080;102932480;1341272064
1700090920.626796;/sys/fs/cgroup/custom.slice/pg1;10450608712;10624630121;1934001121;151142852;4481024;22159360
1700090921.625898;#SYSTEM;10664924103;10847520915;1978105337;152946405;102969344;1341272064
1700090921.625898;/sys/fs/cgroup/custom.slice/pg1;10454593081;10626695645;1934378304;151170665;4481024;22159360
1700090922.624885;#SYSTEM;10571104394;10743695060;1957301371;152041789;102969344;1341272064
1700090922.624885;/sys/fs/cgroup/custom.slice/pg1;10457176020;10634812379;1935854149;151287697;4481024;22159360
1700090923.624118;#SYSTEM;10558977316;10738825196;1956659106;152240908;102969344;1341284352
1700090923.624118;/sys/fs/cgroup/custom.slice/pg1;10458605480;10635500184;1935982431;151295811;4481024;22159360
1700090924.623288;#SYSTEM;10673086621;10870689135;1982273244;153278818;102969344;1341284352
1700090924.623288;/sys/fs/cgroup/custom.slice/pg1;10458241473;10645593291;1937816938;151440898;4481024;22159360
1700090925.622434;#SYSTEM;10671594418;10862329780;1980731443;153194508;103215104;1341284352
1700090925.622434;/sys/fs/cgroup/custom.slice/pg1;10458134340;10639964092;1936791885;151359444;4481024;22159360
1700090926.621629;#SYSTEM;10670171826;10861475207;1980504945;153194650;103215104;1341288448
1700090926.621629;/sys/fs/cgroup/custom.slice/pg1;10451947788;10634068182;1935717656;151277767;4481024;22159360
1700090927.620701;#SYSTEM;10669877732;10854760718;1979331901;153095708;103219200;1341288448
1700090927.620701;/sys/fs/cgroup/custom.slice/pg1;10449879771;10625143336;1934095803;151148802;4481024;22159360
1700090928.619985;#SYSTEM;10674801285;10866537955;1981644107;153220055;103223296;1341304832
1700090928.619985;/sys/fs/cgroup/custom.slice/pg1;10452631962;10634810248;1935853767;151287813;4481024;22159360
1700090929.619100;#SYSTEM;10664112698;10836578049;1976028887;152856590;103223296;1341304832
1700090929.619100;/sys/fs/cgroup/custom.slice/pg1;10450638317;10616770651;1932572911;151031096;4481024;22159360
1700090930.618195;#SYSTEM;10663712184;10846001672;1977694892;152983722;103223296;1341304832
1700090930.618195;/sys/fs/cgroup/custom.slice/pg1;10452093015;10626406217;1934322758;151171589;4481024;22159360
1700090931.617346;#SYSTEM;10663650817;10843000381;1977163797;152938479;103243776;1341308928
1700090931.617346;/sys/fs/cgroup/custom.slice/pg1;10458065844;10629363169;1934865039;151212167;4481024;22159360
1700090932.616481;#SYSTEM;10666092670;10852937134;1979046101;153078762;103243776;1341308928
1700090932.616481;/sys/fs/cgroup/custom.slice/pg1;10457945278;10637912636;1936419663;151334896;4481024;22159360
1700090933.615587;#SYSTEM;10601666987;10768138176;1962016157;152178135;103243776;1341308928
1700090933.615587;/sys/fs/cgroup/custom.slice/pg1;10457886997;10622113150;1933544798;151109168;4481024;22159360
1700090934.614763;#SYSTEM;10541188763;10710934063;1951313297;152085310;103243776;1341325312
1700090934.614763;/sys/fs/cgroup/custom.slice/pg1;10458503679;10633787142;1935665794;151276063;4481024;22159360
1700090935.614013;#SYSTEM;10671004961;10854792392;1979341111;153104993;103243776;1341325312
1700090935.614013;/sys/fs/cgroup/custom.slice/pg1;10454765019;10630296718;1935033969;151225709;4481024;22159360
1700090936.613034;#SYSTEM;10667560004;10845145517;1977576766;152998630;103243776;1341325312
1700090936.613034;/sys/fs/cgroup/custom.slice/pg1;10450060786;10621401627;1933413084;151100417;4481024;22159360
1700090937.612182;#SYSTEM;10672110299;10852203135;1978914511;153065125;103243776;1341325312
1700090937.612182;/sys/fs/cgroup/custom.slice/pg1;10451221401;10622841159;1933677288;151122197;4481024;22159360
1700090938.611434;#SYSTEM;10668684162;10843125557;1977425985;152884164;103243776;1341329408
1700090938.611434;/sys/fs/cgroup/custom.slice/pg1;10452154920;10616556558;1932530047;151034022;4481024;22159360
1700090939.610559;#SYSTEM;10664843434;10845204955;1977624866;152974510;103243776;1341337600
1700090939.610559;/sys/fs/cgroup/custom.slice/pg1;10450715199;10623734131;1933838593;151136743;4481024;22159360
1700090940.609695;#SYSTEM;10665132726;10848660223;1978282103;153039107;103243776;1341349888
1700090940.609695;/sys/fs/cgroup/custom.slice/pg1;10456886319;10633732183;1935658011;151281383;4481024;22159360
1700090941.608773;#SYSTEM;10663469155;10845941547;1977737534;152994831;103243776;1341349888
1700090941.608773;/sys/fs/cgroup/custom.slice/pg1;10457975765;10632683457;1935467088;151265586;4481024;22159360
1700090942.607949;#SYSTEM;10665890334;10846435716;1977802047;153001236;103243776;1341353984
1700090942.607949;/sys/fs/cgroup/custom.slice/pg1;10458414499;10631434314;1935239522;151248923;4481024;22159360
1700090943.606947;#SYSTEM;10673011454;10853011305;1979010761;153097794;103243776;1341353984
