TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_MISSES;MEMORY_ANON;MEMORY_FILE
1700020107.930038;#SYSTEM;54188291;47819881;8664361;353259;97353728;1265487872
1700020107.930038;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700020108.930439;#SYSTEM;1060382311;517893793;96395211;3659862;113569792;1348857856
1700020108.930439;/sys/fs/cgroup/custom.slice/pg1;720857876;276619631;47603272;1871438;15028224;83443712
1700020109.927375;#SYSTEM;33241831513;41953231259;4765830072;591123920;120692736;1367613440
1700020109.927375;/sys/fs/cgroup/custom.slice/pg1;32905583139;41656060037;4707016740;588872572;20582400;101933056
1700020110.926143;#SYSTEM;33565982053;43936038331;4962356225;622248030;121036800;1367613440
1700020110.926143;/sys/fs/cgroup/custom.slice/pg1;33331907364;43675765516;4910942471;620194134;20582400;101933056
1700020111.925183;#SYSTEM;33565101469;43941897736;4962718525;622432299;121475072;1367617536
1700020111.925183;/sys/fs/cgroup/custom.slice/pg1;33332781493;43685424496;4912057872;620353049;20582400;101933056
1700020112.924259;#SYSTEM;33565577899;43939429992;4963351406;622309943;123576320;1367617536
1700020112.924259;/sys/fs/cgroup/custom.slice/pg1;33334615015;43684635050;4911972682;620353750;20582400;101933056
1700020113.923336;#SYSTEM;33563874416;43935108964;4962223337;622304107;123899904;1367633920
1700020113.923336;/sys/fs/cgroup/custom.slice/pg1;33335514678;43683347565;4911825600;620284055;20582400;101933056
1700020114.922365;#SYSTEM;33563112572;43917469677;4961089759;622162022;124289024;1367633920
1700020114.922365;/sys/fs/cgroup/custom.slice/pg1;33336194513;43675784194;4910964730;620358038;20582400;101933056
1700020115.921455;#SYSTEM;33566653194;43925594476;4961255356;622332688;124317696;1367633920
1700020115.921455;/sys/fs/cgroup/custom.slice/pg1;33334226085;43669283698;4910221742;620231117;20582400;101933056
1700020116.920513;#SYSTEM;33566234878;43927714592;4961603572;622297852;124321792;1367638016
1700020116.920513;/sys/fs/cgroup/custom.slice/pg1;33335922158;43672107810;4910532854;620248085;20582400;101933056
1700020117.919527;#SYSTEM;33477513100;43831308726;4932639897;622282475;124321792;1367638016
