TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_MISSES
1699881691.478985;#SYSTEM;4257926;5674515;1074562;15383
1699881691.478985;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0
1699881692.558896;#SYSTEM;21328660;16568480;3292564;88676
1699881692.558896;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0
1699881693.490890;#SYSTEM;8413854480;17789224464;4420068783;44276956
1699881693.490890;/sys/fs/cgroup/custom.slice/pg1;8373227011;17726458684;4408011514;44102615
1699881694.474885;#SYSTEM;8290051763;17579911802;4369494349;43822659
1699881694.474885;/sys/fs/cgroup/custom.slice/pg1;8254922502;17519234532;4357792867;43679659
1699881695.474886;#SYSTEM;8406037944;17805962637;4425738792;44315322
1699881695.474886;/sys/fs/cgroup/custom.slice/pg1;8371906744;17746326072;4414280657;44174348
1699881696.474890;#SYSTEM;8405907754;17819591964;4429076961;44355456
1699881696.474890;/sys/fs/cgroup/custom.slice/pg1;8371939188;17759177227;4417477798;44221304
1699881697.470954;#SYSTEM;8406199492;17799022296;4423974649;44359850
1699881697.470954;/sys/fs/cgroup/custom.slice/pg1;8372142884;17738905654;4412436110;44226500
1699881698.470927;#SYSTEM;8406304227;17816799447;4428353450;44404620
1699881698.470927;/sys/fs/cgroup/custom.slice/pg1;8372007674;17755837689;4416646691;44268134
1699881699.470783;#SYSTEM;8405617804;17806147822;4425775259;44380278
1699881699.470783;/sys/fs/cgroup/custom.slice/pg1;8371947310;17746366666;4414292283;44244352
1699881700.470881;#SYSTEM;8405368859;17810774170;4426823240;44388486
1699881700.470881;/sys/fs/cgroup/custom.slice/pg1;8371405010;17749316538;4415024822;44251963
1699881701.466889;#SYSTEM;8406122881;17817480602;4428536285;44304683
1699881701.466889;/sys/fs/cgroup/custom.slice/pg1;8372028899;17757281230;4416971648;44168394
1699881702.466888;#SYSTEM;8406208968;17805605860;4425469611;44302247
1699881702.466888;/sys/fs/cgroup/custom.slice/pg1;8371977427;17744968395;4413828899;44163334
1699881703.466896;#SYSTEM;8408111131;17801237697;4424408147;44374510
1699881703.466896;/sys/fs/cgroup/custom.slice/pg1;8371764577;17740393540;4412713112;44230072
1699881704.466886;#SYSTEM;8405676850;17820394990;4429280223;44341283
1699881704.466886;/sys/fs/cgroup/custom.slice/pg1;8372401204;17759941198;4417668192;44207476
