FULL;PG1;PG2
14.000577;0;0
52.83784;0;0.124324
54.42013;14.027144;40.392982
53.98027;13.038712;40.289622
54.14211;13.438614;40.315841999999996
54.235156;13.753412;40.092492
54.354624;13.066014;40.765968
53.95631;13.456728;39.982011
54.28693;13.733684;40.294114
54.189148;13.120858;40.543455
54.04808;13.479924;39.797872
54.380284;13.692876;40.556998
54.06182;13.05841;40.481071
54.00171;13.532648;39.824652
54.62287;13.655716;40.576989
53.920336;13.05577;40.342335
54.241012;13.689398;40.164176
54.39372;13.501066;40.243562
54.06713;12.965738;40.453101000000004
54.137256;13.855032;40.025646
54.377656;13.332982;40.52181
54.132824;13.304934;40.436566
54.26455;13.630432;39.862584
54.4252;13.376796;40.917258000000004
54.12622;13.43467;40.17483
54.29392;13.70275;40.074082000000004
54.33063;13.155116;40.912409
53.9478;13.326772;39.724032
54.66132;13.861482;40.669067
53.72231;0;0
14.378309;0;0
13.834912;0;0
13.849568;0;0
