TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_SW_CPU_CLOCK;PERF_COUNT_HW_BRANCH_MISSES;MEMORY_ANON;MEMORY_FILE
1701682177.729261;#SYSTEM;18927702;14173574;34639329;114192;139780096;900898816
1701682177.729261;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1701682177.729261;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1701682177.729261;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0;0;0
1701682178.738811;#SYSTEM;142315099;113719151;6025288995;649414;143798272;914194432
1701682178.738811;/sys/fs/cgroup/custom.slice/pg1;22173713;25556932;18778331;40636;1331200;6647808
1701682178.738811;/sys/fs/cgroup/custom.slice/pg2;12368874;8128640;9830572;12068;2048000;6647808
1701682178.738811;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0;0;0
1701682179.727165;#SYSTEM;7388475692;17146069233;3667888200;9667460;145612800;914178048
1701682179.727165;/sys/fs/cgroup/custom.slice/pg1;2118214521;7414226862;785609449;170814;1331200;6647808
1701682179.727165;/sys/fs/cgroup/custom.slice/pg2;5261335017;9797545830;1478663372;9202240;3686400;6647808
1701682179.727165;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0;0;0
1701682180.726307;#SYSTEM;7539280301;17368420824;3744481203;10174623;145719296;914182144
1701682180.726307;/sys/fs/cgroup/custom.slice/pg1;2090811458;7289831173;749638795;168838;1331200;6647808
1701682180.726307;/sys/fs/cgroup/custom.slice/pg2;5382907926;10016867400;1499896099;9402906;3686400;6647808
1701682180.726307;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0;0;0
1701682181.725405;#SYSTEM;7349341216;16721368596;3746790130;10209142;145809408;914182144
1701682181.725405;/sys/fs/cgroup/custom.slice/pg1;1903376594;6679895304;752422979;153903;1331200;6647808
1701682181.725405;/sys/fs/cgroup/custom.slice/pg2;5365466384;9973107295;1495025504;9343876;3686400;6647808
1701682181.725405;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0;0;0
1701682182.724525;#SYSTEM;7519944306;17222990961;3749120280;10186909;146526208;914182144
1701682182.724525;/sys/fs/cgroup/custom.slice/pg1;2037843220;7039364515;746857842;162841;1331200;6647808
1701682182.724525;/sys/fs/cgroup/custom.slice/pg2;5376648262;9992246242;1498135805;9359676;3686400;6647808
1701682182.724525;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0;0;0
1701682183.723588;#SYSTEM;7457309196;17035967938;3745198499;10170539;146571264;914182144
1701682183.723588;/sys/fs/cgroup/custom.slice/pg1;1984269636;6912179578;750693806;161556;1331200;6647808
1701682183.723588;/sys/fs/cgroup/custom.slice/pg2;5376543352;9999934137;1498098783;9382647;3686400;6647808
1701682183.723588;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0;0;0
1701682184.722708;#SYSTEM;7389313285;16838076380;3742047094;10140390;146669568;914186240
1701682184.722708;/sys/fs/cgroup/custom.slice/pg1;1968333262;6883426357;753722176;162302;1331200;6647808
1701682184.722708;/sys/fs/cgroup/custom.slice/pg2;5376369999;9958430346;1498063120;9342342;3686400;6647808
1701682184.722708;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0;0;0
1701682185.721792;#SYSTEM;7480304565;17059173604;3745431424;10157945;146669568;914194432
1701682185.721792;/sys/fs/cgroup/custom.slice/pg1;2000737609;6966679411;750438978;161346;1331200;6647808
1701682185.721792;/sys/fs/cgroup/custom.slice/pg2;5376711925;9954145467;1498154179;9330200;3686400;6647808
1701682185.721792;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0;0;0
1701682186.720907;#SYSTEM;7437301488;16936230854;3744231442;10128035;146681856;914194432
1701682186.720907;/sys/fs/cgroup/custom.slice/pg1;1985176033;6924914278;750840399;160690;1331200;6647808
1701682186.720907;/sys/fs/cgroup/custom.slice/pg2;5379828699;9952924082;1499026651;9328720;3686400;6647808
1701682186.720907;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0;0;0
1701682187.720020;#SYSTEM;7499481286;17170371367;3746913557;10140475;146681856;914194432
1701682187.720020;/sys/fs/cgroup/custom.slice/pg1;2051945141;7130533072;748133433;166817;1331200;6647808
1701682187.720020;/sys/fs/cgroup/custom.slice/pg2;5379847865;9958609255;1499028653;9331184;3686400;6647808
1701682187.720020;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0;0;0
1701682188.719095;#SYSTEM;7492889948;17150013561;3749036458;10118735;146739200;914194432
1701682188.719095;/sys/fs/cgroup/custom.slice/pg1;2022964117;7039482660;745802080;164137;1331200;6647808
1701682188.719095;/sys/fs/cgroup/custom.slice/pg2;5379486157;9959295419;1498942552;9343168;3686400;6647808
1701682188.719095;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0;0;0
1701682189.718118;#SYSTEM;7414465431;16850677881;3747726587;10132320;146739200;914198528
