TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_SW_CPU_CLOCK;PERF_COUNT_HW_BRANCH_MISSES
1701766341.25824;#SYSTEM;32838534;33737073;33955310;280992
1701766341.25824;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0
1701766341.25824;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0
1701766341.25824;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766342.29763;#SYSTEM;92881270;54419180;5972672671;353167
1701766342.29763;/sys/fs/cgroup/custom.slice/pg1;10092267;6121910;8539928;12782
1701766342.29763;/sys/fs/cgroup/custom.slice/pg2;18609211;10837737;15684111;36430
1701766342.29763;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766343.25747;#SYSTEM;6886137403;17148568320;3961637798;39205227
1701766343.25747;/sys/fs/cgroup/custom.slice/pg1;1463821745;2709115517;533859304;2548180
1701766343.25747;/sys/fs/cgroup/custom.slice/pg2;5314232566;14314855852;1495360949;35882866
1701766343.25747;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766344.21740;#SYSTEM;6736884713;16923395656;3994597760;39161005
1701766344.21740;/sys/fs/cgroup/custom.slice/pg1;1283170642;2376948675;499226957;2237238
1701766344.21740;/sys/fs/cgroup/custom.slice/pg2;5382181242;14502856956;1499563890;36351158
1701766344.21740;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766345.21726;#SYSTEM;6689984211;16839518749;3994754839;39109756
1701766345.21726;/sys/fs/cgroup/custom.slice/pg1;1230452875;2275947550;499717770;2134599
1701766345.21726;/sys/fs/cgroup/custom.slice/pg2;5383464157;14506473292;1499935288;36360133
1701766345.21726;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766346.21780;#SYSTEM;6755003751;16960623605;3995107114;39213837
1701766346.21780;/sys/fs/cgroup/custom.slice/pg1;1313482779;2426909823;498799744;2268175
1701766346.21780;/sys/fs/cgroup/custom.slice/pg2;5383526234;14506853658;1499946700;36360884
1701766346.21780;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766347.21778;#SYSTEM;6712236165;16879350301;3994352774;39123757
1701766347.21778;/sys/fs/cgroup/custom.slice/pg1;1253600667;2322540553;499585115;2187557
1701766347.21778;/sys/fs/cgroup/custom.slice/pg2;5383541092;14506854847;1499951402;36360918
1701766347.21778;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766348.17781;#SYSTEM;6777205305;17006248404;3997350918;39288090
1701766348.17781;/sys/fs/cgroup/custom.slice/pg1;1323666421;2448905610;498473691;2294129
1701766348.17781;/sys/fs/cgroup/custom.slice/pg2;5379218034;14495246596;1498748237;36331807
1701766348.17781;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766349.17783;#SYSTEM;6713745580;16885450867;3998615462;39192827
1701766349.17783;/sys/fs/cgroup/custom.slice/pg1;1247668911;2312116980;498355257;2179198
1701766349.17783;/sys/fs/cgroup/custom.slice/pg2;5374421377;14482062359;1497410557;36298922
1701766349.17783;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766350.17782;#SYSTEM;6717279140;16894959651;3996182181;39199909
1701766350.17782;/sys/fs/cgroup/custom.slice/pg1;1252245577;2320146280;500612016;2183042
1701766350.17782;/sys/fs/cgroup/custom.slice/pg2;5374248742;14481600517;1497350653;36297551
1701766350.17782;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766351.17763;#SYSTEM;6761817399;16981274942;3999662974;39275151
1701766351.17763;/sys/fs/cgroup/custom.slice/pg1;1305196030;2414938650;497130692;2266029
1701766351.17763;/sys/fs/cgroup/custom.slice/pg2;5373616839;14479917397;1497179973;36293390
1701766351.17763;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766352.17782;#SYSTEM;6718265510;16898911515;3995612913;39195899
1701766352.17782;/sys/fs/cgroup/custom.slice/pg1;1252089688;2316691997;501354757;2174884
1701766352.17782;/sys/fs/cgroup/custom.slice/pg2;5374448478;14482171918;1497407888;36299021
1701766352.17782;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766353.13749;#SYSTEM;6762699067;16980452131;3999294716;39242770
1701766353.13749;/sys/fs/cgroup/custom.slice/pg1;1308832764;2418946006;495338384;2257816
1701766353.13749;/sys/fs/cgroup/custom.slice/pg2;5381794222;14502008066;1499453096;36348741
1701766353.13749;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766354.13749;#SYSTEM;6766581403;16983230330;3992851194;39224538
1701766354.13749;/sys/fs/cgroup/custom.slice/pg1;1314391444;2431318412;501616651;2280125
1701766354.13749;/sys/fs/cgroup/custom.slice/pg2;5383453978;14506670789;1499929556;36360465
1701766354.13749;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766355.13750;#SYSTEM;6668707160;16796884255;3994132291;39066470
1701766355.13750;/sys/fs/cgroup/custom.slice/pg1;1214492145;2249174556;499928509;2115135
1701766355.13750;/sys/fs/cgroup/custom.slice/pg2;5383517800;14506828447;1499942222;36360836
1701766355.13750;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766356.13760;#SYSTEM;6794785535;17037907775;3993657822;39247599
1701766356.13760;/sys/fs/cgroup/custom.slice/pg1;1355799875;2508611261;500279588;2352289
1701766356.13760;/sys/fs/cgroup/custom.slice/pg2;5383572883;14506955717;1499953842;36361146
1701766356.13760;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766357.9754;#SYSTEM;6739014156;16935333209;4000061541;39194615
