FULL;PG1;PG2
13.853456;0;0
48.575444;16.034612;32.069224
50.20663;16.62792;32.932968
50.28085;16.597561;33.520566
50.319744;16.71914;33.113636
50.282584;16.544592;33.413588
50.287388;16.599719;33.199438
50.279564;16.70579;33.087196
50.289508;16.54687;33.418188
50.292532;16.764177;33.202836
50.300624;16.550527;33.425574
50.27736;16.542873;33.085746
50.305636;16.714453;33.104354
50.281892;16.544364;33.413128
50.285864;16.761954;33.198432
50.30035;16.550437;33.425392
50.317764;16.556167;33.112334
50.286276;16.762092;33.198706
50.315788;16.555517;33.435652
50.297836;16.765945;33.206338
50.296732;16.549246;33.26074
50.301184;16.712973;33.263684
50.295944;16.495775;33.314996
50.2851;16.70763;33.25305
50.320532;16.557078;33.27648
50.32712;16.721591;33.11849
50.336776;16.7248;33.4496
50.28856;16.44049;33.203342
50.29034;16.763446;33.201388
50.35174;16.567346;33.459542
50.386748;16.687572;33.213128999999995
50.35427;16.676816;33.191721
49.410816;17.193628;17.360556
23.00594;0;0
14.00534;0;0
13.629576;0;0
13.654003;0;0
