FULL;PG1;PG2
14.02769;0;0
56.333332;0;0
58.380796;28.906994;29.048695000000002
58.429916;29.073135999999998;28.931316
58.37967;29.048137;29.189836
58.414776;28.92382;28.92382
58.429736;29.074412;28.933956
58.447176;29.152483;29.29469
58.45256;29.015004;28.874155000000002
58.41653;28.924688;29.066476
58.425284;29.070833;28.929024
58.48256;28.958756;29.100018
58.46484;29.0912;29.0912
58.38253;29.191264;29.191264
58.449308;28.801108;28.801108
58.457148;29.371152;29.085994
58.468996;28.741384;29.023162
58.451656;29.225828;29.225828
58.490196;29.245096;28.961164
58.423576;28.788428;29.070666
58.498572;28.96531;28.96531
58.455896;29.08675;29.08675
58.44218;29.292186;29.292186
58.45669;28.735334;28.735334
58.48252;29.24126;29.24126
58.46178;29.017526;29.017526
58.461024;29.019206;29.019206
58.48392;29.24196;29.24196
58.482536;28.817482;28.817482
58.52315;29.119528;28.977482
58.512384;29.185009;29.327374
58.513576;29.11545;29.11545
58.44463;28.939975;28.798804
43.41103;0;0
14.151857;0;0
13.813957;0;0
13.680991;0;0
