TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_MISSES
1699902202.675786;#SYSTEM;13128432;14017349;1929404;33779
1699902202.675786;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0
1699902202.675786;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0
1699902202.675786;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699902203.731697;#SYSTEM;169274739;288086106;47560461;403512
1699902203.731697;/sys/fs/cgroup/custom.slice/pg1;51617334;84618324;9866631;130364
1699902203.731697;/sys/fs/cgroup/custom.slice/pg2;49620922;138171017;25112300;32054
1699902203.731697;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699902204.596220;#SYSTEM;7061737741;19883215338;3087096175;9354506
1699902204.596220;/sys/fs/cgroup/custom.slice/pg1;3524860229;6979286346;751865070;9118906
1699902204.596220;/sys/fs/cgroup/custom.slice/pg2;3524339915;12901626772;2334710453;155896
1699902204.596220;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699902205.595373;#SYSTEM;7224569308;20309446454;3155559866;9642401
1699902205.595373;/sys/fs/cgroup/custom.slice/pg1;3588305129;7104717917;765375029;9286522
1699902205.595373;/sys/fs/cgroup/custom.slice/pg2;3588414369;13147133342;2379138388;158581
1699902205.595373;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699902206.594527;#SYSTEM;7224119555;20322027177;3157765122;9625556
1699902206.594527;/sys/fs/cgroup/custom.slice/pg1;3588287985;7105368079;765439346;9278024
1699902206.594527;/sys/fs/cgroup/custom.slice/pg2;3588526008;13158582783;2381210213;158274
1699902206.594527;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699902207.593680;#SYSTEM;7224886274;20300496442;3153824942;9617941
1699902207.593680;/sys/fs/cgroup/custom.slice/pg1;3588314801;7105765886;765467254;9273834
1699902207.593680;/sys/fs/cgroup/custom.slice/pg2;3588422998;13136238529;2377167088;158732
1699902207.593680;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699902208.592728;#SYSTEM;7223530011;20311963840;3156034939;9629787
1699902208.592728;/sys/fs/cgroup/custom.slice/pg1;3587901951;7103963926;765291373;9285633
1699902208.592728;/sys/fs/cgroup/custom.slice/pg2;3588091360;13149077917;2379490236;158221
1699902208.592728;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699902209.591969;#SYSTEM;7225881530;20313146169;3156158533;9632254
1699902209.591969;/sys/fs/cgroup/custom.slice/pg1;3588629350;7105836900;765495321;9280110
1699902209.591969;/sys/fs/cgroup/custom.slice/pg2;3588735112;13149055060;2379486539;158313
1699902209.591969;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699902210.591072;#SYSTEM;7224015333;20347174114;3162428352;9627438
1699902210.591072;/sys/fs/cgroup/custom.slice/pg1;3588106230;7104269427;765331926;9284866
1699902210.591072;/sys/fs/cgroup/custom.slice/pg2;3588343420;13184269493;2385858347;157494
1699902210.591072;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699902211.590214;#SYSTEM;7223908596;20344574694;3161893313;9620427
1699902211.590214;/sys/fs/cgroup/custom.slice/pg1;3588294309;7105024137;765417804;9281909
1699902211.590214;/sys/fs/cgroup/custom.slice/pg2;3588400610;13181311931;2385323424;157550
1699902211.590214;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699902212.589299;#SYSTEM;7225051802;20335189449;3160232630;9629917
1699902212.589299;/sys/fs/cgroup/custom.slice/pg1;3588031033;7104500649;765350460;9282296
1699902212.589299;/sys/fs/cgroup/custom.slice/pg2;3588233908;13171197465;2383493336;157816
1699902212.589299;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699902213.588391;#SYSTEM;7223773222;20344816560;3161932638;9617954
1699902213.588391;/sys/fs/cgroup/custom.slice/pg1;3588154963;7104974332;765413295;9278388
1699902213.588391;/sys/fs/cgroup/custom.slice/pg2;3588259411;13181712471;2385395960;157561
1699902213.588391;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699902214.587540;#SYSTEM;7230117412;20339248059;3160891202;9655381
1699902214.587540;/sys/fs/cgroup/custom.slice/pg1;3588263553;7105567289;765462766;9275561
1699902214.587540;/sys/fs/cgroup/custom.slice/pg2;3588455964;13173216096;2383858757;157897
1699902214.587540;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699902215.586689;#SYSTEM;7230269303;20335144641;3160167635;9661822
1699902215.586689;/sys/fs/cgroup/custom.slice/pg1;3588310444;7105220286;765428048;9278810
1699902215.586689;/sys/fs/cgroup/custom.slice/pg2;3588417731;13169140796;2383121387;158064
1699902215.586689;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699902216.585844;#SYSTEM;7225317106;20325367221;3158369958;9616858
1699902216.585844;/sys/fs/cgroup/custom.slice/pg1;3588287764;7105472106;765463861;9274124
1699902216.585844;/sys/fs/cgroup/custom.slice/pg2;3588298340;13160633176;2381581654;158018
1699902216.585844;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699902217.584928;#SYSTEM;7223384354;20334556996;3160038033;9607320
1699902217.584928;/sys/fs/cgroup/custom.slice/pg1;3588069083;7105129815;765421087;9273568
1699902217.584928;/sys/fs/cgroup/custom.slice/pg2;3588238101;13171266150;2383505469;157739
1699902217.584928;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699902218.584075;#SYSTEM;7224124911;20343807717;3161678830;9606688
1699902218.584075;/sys/fs/cgroup/custom.slice/pg1;3588263122;7105856978;765497691;9268914
1699902218.584075;/sys/fs/cgroup/custom.slice/pg2;3588549705;13179642585;2385021002;157511
1699902218.584075;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699902219.583238;#SYSTEM;7224369913;20321467708;3157687406;9621021
1699902219.583238;/sys/fs/cgroup/custom.slice/pg1;3588359556;7104952450;765409869;9281874
1699902219.583238;/sys/fs/cgroup/custom.slice/pg2;3588418509;13158312917;2381161443;158074
1699902219.583238;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699902220.582385;#SYSTEM;7223828729;20340875805;3161161505;9610431
1699902220.582385;/sys/fs/cgroup/custom.slice/pg1;3588268558;7105248047;765429025;9277004
1699902220.582385;/sys/fs/cgroup/custom.slice/pg2;3588413505;13177392348;2384614176;157669
1699902220.582385;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699902221.581542;#SYSTEM;7224489824;20330738938;3159375987;9616771
1699902221.581542;/sys/fs/cgroup/custom.slice/pg1;3588379410;7105096377;765427432;9280636
1699902221.581542;/sys/fs/cgroup/custom.slice/pg2;3588486182;13167096318;2382750874;158106
