TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_MISSES
1699897831.874216;#SYSTEM;13408839;13892972;1909813;31282
1699897831.874216;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0
1699897831.874216;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0
1699897831.874216;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897832.999553;#SYSTEM;186443678;200729807;33173435;479177
1699897832.999553;/sys/fs/cgroup/custom.slice/pg1;55330246;78759648;14567171;90457
1699897832.999553;/sys/fs/cgroup/custom.slice/pg2;72335365;88514185;11796625;171099
1699897832.999553;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897833.872093;#SYSTEM;21165581907;59540874150;9235039554;28129109
1699897833.872093;/sys/fs/cgroup/custom.slice/pg1;10504086655;38461222213;6960034702;479884
1699897833.872093;/sys/fs/cgroup/custom.slice/pg2;10624476408;21029783644;2265526716;27525745
1699897833.872093;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897834.871147;#SYSTEM;21527522654;60683869024;9421880797;28502666
1699897834.871147;/sys/fs/cgroup/custom.slice/pg1;10722746015;39319954777;7115429737;474730
1699897834.871147;/sys/fs/cgroup/custom.slice/pg2;10763224763;21304821666;2295117525;27898121
1699897834.871147;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897835.870211;#SYSTEM;21527718314;60630293805;9412021185;28490660
1699897835.870211;/sys/fs/cgroup/custom.slice/pg1;10723221731;39264478797;7105390261;474517
1699897835.870211;/sys/fs/cgroup/custom.slice/pg2;10763618598;21306509893;2295281682;27886565
1699897835.870211;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897836.869268;#SYSTEM;21527622818;60617984840;9409972471;28505414
1699897836.869268;/sys/fs/cgroup/custom.slice/pg1;10722385662;39252958770;7103305366;477523
1699897836.869268;/sys/fs/cgroup/custom.slice/pg2;10763107886;21304607390;2295099606;27897718
1699897836.869268;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897837.868324;#SYSTEM;21528160384;60680993345;9421206545;28493264
1699897837.868324;/sys/fs/cgroup/custom.slice/pg1;10723462117;39314777208;7114491834;473883
1699897837.868324;/sys/fs/cgroup/custom.slice/pg2;10764087865;21306706467;2295316548;27897278
1699897837.868324;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897838.867385;#SYSTEM;21527721441;60683451798;9421746635;28490839
1699897838.867385;/sys/fs/cgroup/custom.slice/pg1;10723338806;39318126349;7115098477;476116
1699897838.867385;/sys/fs/cgroup/custom.slice/pg2;10763463977;21305885473;2295247242;27885512
1699897838.867385;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897839.866448;#SYSTEM;21528031751;60688585524;9422608629;28482875
1699897839.866448;/sys/fs/cgroup/custom.slice/pg1;10723819323;39322679888;7115922048;472758
1699897839.866448;/sys/fs/cgroup/custom.slice/pg2;10763622163;21306216434;2295253604;27888966
1699897839.866448;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897840.865506;#SYSTEM;21527635524;60678352805;9420814807;28581350
1699897840.865506;/sys/fs/cgroup/custom.slice/pg1;10720840393;39313069288;7114182631;473270
1699897840.865506;/sys/fs/cgroup/custom.slice/pg2;10763323703;21305656991;2295208562;27884798
1699897840.865506;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897841.864568;#SYSTEM;21527789036;60691747093;9423278732;28488871
1699897841.864568;/sys/fs/cgroup/custom.slice/pg1;10723843407;39327012802;7116705711;473073
1699897841.864568;/sys/fs/cgroup/custom.slice/pg2;10763173619;21304989985;2295141023;27888422
1699897841.864568;/sys/fs/cgroup/custom.slice/test;0;0;0;0
