FULL;PG1;PG2
13.887301;0;0
44.837004;0;0
46.791756;15.546938;31.093876
46.947656;15.447293;30.894586
46.896372;15.531595;31.06319
46.94709;15.447105;30.89421
47.223412;15.490482;30.980964
46.948344;15.397849;30.795698
46.969784;15.656594;31.313188
46.930852;15.491737;30.983474
46.91764;15.538639;31.077278
46.98588;15.511363;31.022726
46.958292;15.450792;30.901584
46.945236;15.446497;30.892994
46.939068;15.646355;31.29271
46.98522;15.561021;31.122042
46.9938;15.412757;30.825514
46.99524;15.66508;31.33016
47.064388;15.485702;30.971404
47.044612;15.681537;31.363074
46.909264;15.436595;30.72332
47.019436;15.673145;31.34629
46.98082;15.4085;30.817
46.95657;15.500226;31.152414999999998
46.936696;15.544951;30.93898
47.01031;15.56933;31.13866
46.935492;15.393633;30.938184
46.970708;15.656902;31.161794999999998
46.988964;15.512382;31.024764
46.98901;15.510935;31.02187
46.992824;15.56354;31.12708
47.00376;15.517267;31.034534
46.988804;15.561227;31.122454
34.05255;30.737704;0
32.82122;0;0
14.052164;0;0
13.680743;0;0
13.674752;0;0
