FULL;PG1;PG2
13.810747;0;0
40.44945;0;0
42.25393;21.126964;21.126964
42.264564;20.626724;20.626724
42.26228;21.029056;21.029056
42.28719;20.736988;20.736988
42.28921;20.941292;20.941292
42.303892;20.845396;20.845396
42.28231;21.039024;21.039024
42.291596;20.940498;20.940498
42.25219;20.81992;20.81992
42.280588;20.833912;20.833912
42.303772;20.948502;20.948502
42.32367;20.855142;20.855142
42.25746;21.02666;20.822516
42.32751;20.857036;21.061516
42.282252;20.834732;20.834732
42.33382;21.064654;21.064654
42.291164;20.742808;20.742808
42.32993;20.858224;20.858224
42.26192;21.028878;21.028878
42.318784;20.855668;20.653186
42.32352;20.855068;21.05953
42.33589;20.964406;20.964406
42.31808;20.955588;20.752136
42.36537;20.775324;20.979004
42.368692;21.082006;20.877326
42.420504;20.902856;21.107788
42.310588;20.851628;20.851628
42.381692;20.78333;20.987088
42.330508;20.96174;20.758228
39.813104;0;23.610096
34.59326;0;34.26063
33.136532;0;0
14.008463;0;0
13.78838;0;0
13.609914;0;0
