TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_SW_CPU_CLOCK;PERF_COUNT_HW_BRANCH_MISSES;MEMORY_ANON;MEMORY_FILE
1700512089.271401;#SYSTEM;145727989;103283946;1697092445;201487;111370240;1163780096
1700512089.271401;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700512089.271401;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1700512090.271189;#SYSTEM;1079051360;325794683;63573659774;1345817;119238656;1208242176
1700512090.271189;/sys/fs/cgroup/custom.slice/pg1;193776834;40697284;79860465;113971;1568768;8863744
1700512090.271189;/sys/fs/cgroup/custom.slice/pg2;754299809;165262094;280039062;467407;6258688;35454976
1700512091.268968;#SYSTEM;30904684699;114817098141;53918854753;4174716;122904576;1208209408
1700512091.268968;/sys/fs/cgroup/custom.slice/pg1;6126890544;22950194925;2000973683;812999;1785856;8863744
1700512091.268968;/sys/fs/cgroup/custom.slice/pg2;24498062876;91859388573;7979058555;2738473;7135232;35454976
1700512092.267878;#SYSTEM;31060159754;117709765756;53948211747;3788555;123092992;1208213504
1700512092.267878;/sys/fs/cgroup/custom.slice/pg1;6178233197;23513879079;1999936628;764048;1785856;8863744
1700512092.267878;/sys/fs/cgroup/custom.slice/pg2;24692904782;93961002152;7992889272;2615019;7135232;35454976
1700512093.266903;#SYSTEM;31060393600;117686697375;53948673950;4008022;123498496;1208213504
1700512093.266903;/sys/fs/cgroup/custom.slice/pg1;6169519032;23474016994;1997678111;761771;1785856;8863744
1700512093.266903;/sys/fs/cgroup/custom.slice/pg2;24691064971;93955719233;7992848082;2829475;7135232;35454976
1700512094.266045;#SYSTEM;31066196079;117578037602;53955217394;3766271;125591552;1208217600
1700512094.266045;/sys/fs/cgroup/custom.slice/pg1;6165430788;23446031688;1996511123;761264;1785856;8863744
1700512094.266045;/sys/fs/cgroup/custom.slice/pg2;24688240980;93825116283;7991938128;2596353;7135232;35454976
1700512095.265098;#SYSTEM;31052193251;117475354651;53945220189;3595932;125771776;1208233984
1700512095.265098;/sys/fs/cgroup/custom.slice/pg1;6165139177;23448474710;1995869802;759053;1785856;8863744
1700512095.265098;/sys/fs/cgroup/custom.slice/pg2;24686840251;93777080855;7990746620;2422878;7135232;35454976
1700512096.264225;#SYSTEM;31055040008;117441301609;53949384743;3761331;126099456;1208238080
1700512096.264225;/sys/fs/cgroup/custom.slice/pg1;6167588690;23466744548;1996440883;760070;1785856;8863744
1700512096.264225;/sys/fs/cgroup/custom.slice/pg2;24688355438;93677900989;7991799867;2560486;7135232;35454976
1700512097.263215;#SYSTEM;31036664341;117347320187;53943554290;4112295;126099456;1208238080
1700512097.263215;/sys/fs/cgroup/custom.slice/pg1;6170965637;23444664034;1997142194;760748;1785856;8863744
1700512097.263215;/sys/fs/cgroup/custom.slice/pg2;24687281104;93649858553;7990925728;2887597;7135232;35454976
1700512098.262264;#SYSTEM;31042252039;117402077046;53948413593;3817579;126099456;1208242176
1700512098.262264;/sys/fs/cgroup/custom.slice/pg1;6179476386;23483855008;1999917417;762264;1785856;8863744
1700512098.262264;/sys/fs/cgroup/custom.slice/pg2;24692849302;93678195344;7993084507;2623401;7135232;35454976
1700512099.261313;#SYSTEM;31045764543;117395148617;53944757631;3723481;126099456;1208242176
1700512099.261313;/sys/fs/cgroup/custom.slice/pg1;6179257514;23506214012;1999847798;761200;1785856;8863744
1700512099.261313;/sys/fs/cgroup/custom.slice/pg2;24693157787;93688287285;7992877070;2543071;7135232;35454976
1700512100.260369;#SYSTEM;31057414256;117469006213;53949304451;3535383;126099456;1208254464
1700512100.260369;/sys/fs/cgroup/custom.slice/pg1;6177908542;23485053130;1999896391;762245;1785856;8863744
1700512100.260369;/sys/fs/cgroup/custom.slice/pg2;24689459674;93774320983;7993231938;2305326;7135232;35454976
1700512101.259450;#SYSTEM;31054929743;117501329304;53950051449;3513179;126099456;1208258560
1700512101.259450;/sys/fs/cgroup/custom.slice/pg1;6174912913;23478575618;1999506199;761818;1785856;8863744
1700512101.259450;/sys/fs/cgroup/custom.slice/pg2;24689500326;93764474276;7993117793;2316798;7135232;35454976
1700512102.258619;#SYSTEM;31059813290;115136950679;53949801294;3103207;126136320;1208262656
1700512102.258619;/sys/fs/cgroup/custom.slice/pg1;6159614904;22189037275;1996569225;586625;1785856;8863744
1700512102.258619;/sys/fs/cgroup/custom.slice/pg2;24679732217;92503468885;7992331610;2118246;7135232;35454976
1700512103.257693;#SYSTEM;31067778816;117555511788;53952141180;3331310;126136320;1208270848
1700512103.257693;/sys/fs/cgroup/custom.slice/pg1;6165355834;23396178368;1996654680;722938;1785856;8863744
