TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_MISSES;MEMORY_ANON;MEMORY_FILE
1700013347.292407;#SYSTEM;79133415;28295042;5761284;81623;96509952;1422745600
1700013347.292407;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700013348.295155;#SYSTEM;962627377;366761633;72818816;1753629;113004544;1504518144
1700013348.295155;/sys/fs/cgroup/custom.slice/pg1;689682299;192669775;37470578;646491;16789504;83152896
1700013349.288935;#SYSTEM;62737416946;112510256644;20501506682;6155107;119324672;1522429952
1700013349.288935;/sys/fs/cgroup/custom.slice/pg1;62210968695;112275465100;20453597051;5053503;20074496;99717120
1700013350.287610;#SYSTEM;62953675704;125866222986;22916528416;3243914;119652352;1522429952
1700013350.287610;/sys/fs/cgroup/custom.slice/pg1;62624614161;125496835753;22844151695;2996889;20074496;99717120
1700013351.286930;#SYSTEM;61580096215;122598530385;22321360516;3153738;120029184;1522434048
1700013351.286930;/sys/fs/cgroup/custom.slice/pg1;61251451936;122298674175;22261977821;2851680;20074496;99717120
1700013352.285879;#SYSTEM;61842924658;123410630709;22469348363;3013214;122204160;1522434048
1700013352.285879;/sys/fs/cgroup/custom.slice/pg1;61493638592;123103148107;22408425449;2657728;20074496;99717120
1700013353.284973;#SYSTEM;61816402011;123363866849;22461084279;3087354;122462208;1522446336
1700013353.284973;/sys/fs/cgroup/custom.slice/pg1;61459202625;123087596693;22405587119;2670998;20074496;99717120
1700013354.284085;#SYSTEM;61841188746;123118541222;22416993673;4711656;122880000;1522446336
1700013354.284085;/sys/fs/cgroup/custom.slice/pg1;61440289834;122782215262;22350009142;4433536;20074496;99717120
1700013355.282948;#SYSTEM;61775117078;123247194768;22439439957;3098876;122880000;1522446336
1700013355.282948;/sys/fs/cgroup/custom.slice/pg1;61424643937;122945047740;22379635649;2663127;20074496;99717120
1700013356.282152;#SYSTEM;61789438011;123163655078;22424152580;3746260;122880000;1522454528
1700013356.282152;/sys/fs/cgroup/custom.slice/pg1;61429237554;122840253551;22360571291;3244718;20074496;99717120
1700013357.281213;#SYSTEM;61741176656;123205746696;22431866114;3054569;122880000;1522454528
1700013357.281213;/sys/fs/cgroup/custom.slice/pg1;61445161031;122997223941;22389127045;2621802;20074496;99717120
1700013358.280280;#SYSTEM;61769299940;123274664910;22444287038;2973470;123154432;1522454528
1700013358.280280;/sys/fs/cgroup/custom.slice/pg1;61412826470;122920193160;22375117465;2660659;20074496;99717120
1700013359.279423;#SYSTEM;61493766203;123176106172;22421855388;2119677;123154432;1522466816
1700013359.279423;/sys/fs/cgroup/custom.slice/pg1;61417237870;123164203127;22419521928;2027634;20074496;99717120
1700013360.278483;#SYSTEM;61765939912;123291517343;22447486007;2967458;123154432;1522466816
1700013360.278483;/sys/fs/cgroup/custom.slice/pg1;61402528464;122983832622;22386699015;2502044;20074496;99717120
1700013361.277476;#SYSTEM;61778218884;123282763575;22445959370;2946704;123154432;1522466816
1700013361.277476;/sys/fs/cgroup/custom.slice/pg1;61435602226;123024669217;22394132369;2568248;20074496;99717120
1700013362.276511;#SYSTEM;61731823204;123194629450;22429849522;3010852;123154432;1522475008
1700013362.276511;/sys/fs/cgroup/custom.slice/pg1;61416688938;122975454519;22385180436;2581690;20074496;99717120
1700013363.275541;#SYSTEM;61754236997;123243087363;22438949577;3073488;123154432;1522475008
1700013363.275541;/sys/fs/cgroup/custom.slice/pg1;61413744928;122989898552;22387803159;2581992;20074496;99717120
1700013364.274628;#SYSTEM;61735903608;123238836951;22437897557;2864899;123154432;1522487296
1700013364.274628;/sys/fs/cgroup/custom.slice/pg1;61391725681;122898386804;22371150307;2617580;20074496;99717120
1700013365.273692;#SYSTEM;61744262227;123286018254;22446470886;2887372;123154432;1522487296
1700013365.273692;/sys/fs/cgroup/custom.slice/pg1;61371112865;122906239415;22372577387;2572528;20074496;99717120
1700013366.272798;#SYSTEM;61695443752;123198179729;22430497561;2892612;123154432;1522491392
1700013366.272798;/sys/fs/cgroup/custom.slice/pg1;61367974266;122900014459;22371447884;2613759;20074496;99717120
1700013367.271813;#SYSTEM;61664535662;123141922885;22420257767;2851057;123154432;1522495488
1700013367.271813;/sys/fs/cgroup/custom.slice/pg1;61349924486;122879917804;22367774333;2616587;20074496;99717120
1700013368.271083;#SYSTEM;61663978104;123119986185;22416256365;2941738;123154432;1522499584
1700013368.271083;/sys/fs/cgroup/custom.slice/pg1;61365042442;122932613887;22377379130;2541892;20074496;99717120
1700013369.269989;#SYSTEM;61648525705;123099722658;22412812256;2892179;123154432;1522499584
1700013369.269989;/sys/fs/cgroup/custom.slice/pg1;61324059607;122857335603;22363666402;2571582;20074496;99717120
1700013370.269046;#SYSTEM;61376302611;122990035541;22387712221;2092636;123154432;1522511872
1700013370.269046;/sys/fs/cgroup/custom.slice/pg1;61321932635;123036109760;22396215454;1958786;20074496;99717120
1700013371.268161;#SYSTEM;61645552203;123101180474;22412829532;2941759;123191296;1522511872
1700013371.268161;/sys/fs/cgroup/custom.slice/pg1;61315641341;122838008013;22360156490;2539113;20074496;99717120
1700013372.267163;#SYSTEM;61559404474;123017259935;22397475710;2919265;123420672;1522515968
1700013372.267163;/sys/fs/cgroup/custom.slice/pg1;61254913565;122795123508;22352354430;2553914;20074496;99717120
1700013373.266469;#SYSTEM;61659282037;123074574271;22408489283;3084850;123420672;1522515968
1700013373.266469;/sys/fs/cgroup/custom.slice/pg1;61288223412;122737879973;22341926179;2622013;20074496;99717120
1700013374.265322;#SYSTEM;61590394031;122977115922;22390349978;2978126;123441152;1522515968
1700013374.265322;/sys/fs/cgroup/custom.slice/pg1;61251575506;122662023196;22328121248;2699280;20074496;99717120
