TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_SW_CPU_CLOCK;PERF_COUNT_HW_BRANCH_MISSES;MEMORY_ANON;MEMORY_FILE
1700523021.327710;#SYSTEM;153109691;109471843;1699869932;210945;112033792;1244557312
1700523021.327710;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700523021.327710;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1700523022.327836;#SYSTEM;866105044;290377680;63684770809;1342719;121487360;1297747968
1700523022.327836;/sys/fs/cgroup/custom.slice/pg1;307348287;82954136;115038978;227723;3133440;17727488
1700523022.327836;/sys/fs/cgroup/custom.slice/pg2;418244686;93539709;162814042;283150;6279168;35454976
1700523023.323391;#SYSTEM;35882524442;66643274708;51886414428;285289545;125476864;1297707008
1700523023.323391;/sys/fs/cgroup/custom.slice/pg1;11519261345;19343900715;3982691605;274720924;3575808;17727488
1700523023.323391;/sys/fs/cgroup/custom.slice/pg2;23958530538;47067020656;7962826891;9827568;7168000;35454976
1700523024.322126;#SYSTEM;36574789753;70938375263;51950849131;305490159;125784064;1297711104
1700523024.322126;/sys/fs/cgroup/custom.slice/pg1;11970553243;20803067767;3991809538;296551311;3575808;17727488
1700523024.322126;/sys/fs/cgroup/custom.slice/pg2;24353022393;49826735978;7991555466;8077470;7168000;35454976
1700523025.321037;#SYSTEM;36602027022;71104467954;51947308716;307159288;125861888;1297711104
1700523025.321037;/sys/fs/cgroup/custom.slice/pg1;11973244527;20972065957;3995861355;298957986;3575808;17727488
1700523025.321037;/sys/fs/cgroup/custom.slice/pg2;24302778884;49840744611;7991461176;7572909;7168000;35454976
1700523026.320186;#SYSTEM;36583871888;71050401164;51954486273;307099747;128122880;1297723392
1700523026.320186;/sys/fs/cgroup/custom.slice/pg1;11971898980;20966700609;3996585690;298926391;3575808;17727488
1700523026.320186;/sys/fs/cgroup/custom.slice/pg2;24281460310;49791652921;7992910597;7495051;7168000;35454976
1700523027.319195;#SYSTEM;36592206697;71088019410;51950493890;307201779;128307200;1297731584
1700523027.319195;/sys/fs/cgroup/custom.slice/pg1;11976662458;20968816069;3996093631;299121004;3575808;17727488
1700523027.319195;/sys/fs/cgroup/custom.slice/pg2;24294637553;49841480623;7992051446;7440461;7168000;35454976
1700523028.318451;#SYSTEM;36666587117;70983683353;51950526240;304746019;128643072;1297731584
1700523028.318451;/sys/fs/cgroup/custom.slice/pg1;12016089874;20807232297;3996549374;296770987;3575808;17727488
1700523028.318451;/sys/fs/cgroup/custom.slice/pg2;24330767346;49903795946;7992584804;7457457;7168000;35454976
1700523029.317293;#SYSTEM;37143818128;71275368768;51940204696;302406508;128643072;1297735680
