TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_MISSES;MEMORY_ANON;MEMORY_FILE
1699994762.580793;#SYSTEM;123008515;71727416;13906265;154417;94760960;1298698240
1699994762.580793;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1699994763.580355;#SYSTEM;338807713;277007812;55271710;877660;103976960;1331347456
1699994763.580355;/sys/fs/cgroup/custom.slice/pg1;176789530;63036300;12183938;182662;7421952;33214464
1699994764.577328;#SYSTEM;40596788216;61785382356;8475846064;2457822;110354432;1363083264
1699994764.577328;/sys/fs/cgroup/custom.slice/pg1;40176674664;61462218309;8409008178;1570074;12935168;64262144
1699994765.575827;#SYSTEM;40712239991;67878953462;9274868324;828468;110649344;1363083264
1699994765.575827;/sys/fs/cgroup/custom.slice/pg1;40436183644;67613206463;9221441142;459660;12935168;64262144
1699994766.574916;#SYSTEM;40726822464;67885888686;9275873827;819072;110927872;1363087360
1699994766.574916;/sys/fs/cgroup/custom.slice/pg1;40442733745;67590902320;9218393311;454471;12935168;64262144
1699994767.574001;#SYSTEM;40732172288;67921972362;9280827481;808551;113012736;1363087360
1699994767.574001;/sys/fs/cgroup/custom.slice/pg1;40412104295;67578489278;9216698212;453427;12935168;64262144
1699994768.572746;#SYSTEM;40719290414;67902765367;9278165504;804201;113238016;1363099648
1699994768.572746;/sys/fs/cgroup/custom.slice/pg1;40413452408;67574322453;9216130320;452263;12935168;64262144
1699994769.571680;#SYSTEM;40723238706;67907127700;9278739848;808966;113594368;1363107840
1699994769.571680;/sys/fs/cgroup/custom.slice/pg1;40404454536;67561662203;9214409215;452673;12935168;64262144
1699994770.570759;#SYSTEM;40694053584;67848926072;9270604729;801850;113594368;1363107840
1699994770.570759;/sys/fs/cgroup/custom.slice/pg1;40421220099;67577780535;9216600552;451889;12935168;64262144
1699994771.569745;#SYSTEM;40688612703;67862846640;9272381884;796569;113594368;1363111936
1699994771.569745;/sys/fs/cgroup/custom.slice/pg1;40445420490;67637080837;9224686675;451026;12935168;64262144
1699994772.568858;#SYSTEM;40686290384;67860178548;9271896176;789435;113594368;1363111936
1699994772.568858;/sys/fs/cgroup/custom.slice/pg1;40447407708;67634715949;9224365263;450594;12935168;64262144
1699994773.567847;#SYSTEM;40702476215;67880126013;9276013074;844991;113594368;1363116032
1699994773.567847;/sys/fs/cgroup/custom.slice/pg1;40445396509;67641772499;9225336078;452509;12935168;64262144
1699994774.566866;#SYSTEM;40711519659;67902460836;9277718763;807533;113856512;1363132416
1699994774.566866;/sys/fs/cgroup/custom.slice/pg1;40445332353;67632562475;9224073293;451551;12935168;64262144
1699994775.566033;#SYSTEM;40542858048;67771181209;9247405537;565465;113856512;1363132416
1699994775.566033;/sys/fs/cgroup/custom.slice/pg1;40415050489;67628358576;9223493127;449991;12935168;64262144
