TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_SW_CPU_CLOCK;PERF_COUNT_HW_BRANCH_MISSES;MEMORY_ANON;MEMORY_FILE
1700530708.360823;#SYSTEM;128371933;59240103;1724603335;149296;112439296;1299673088
1700530708.360823;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700530708.360823;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1700530709.360021;#SYSTEM;1759865888;467121910;63362969377;1851594;125513728;1370730496
1700530709.360021;/sys/fs/cgroup/custom.slice/pg1;866851070;180686627;331313354;537721;6254592;35454976
1700530709.360021;/sys/fs/cgroup/custom.slice/pg2;661187626;122705680;237628541;364044;6266880;35454976
1700530710.356329;#SYSTEM;44753531624;86897682785;47918393431;18656639;129425408;1370681344
1700530710.356329;/sys/fs/cgroup/custom.slice/pg1;22185124731;44233592365;7960172656;7567286;7139328;35454976
1700530710.356329;/sys/fs/cgroup/custom.slice/pg2;22173309180;42341334220;7966402346;10536449;7143424;35454976
1700530711.354975;#SYSTEM;44902082203;91718460085;47954971088;16095768;129736704;1370685440
1700530711.354975;/sys/fs/cgroup/custom.slice/pg1;22289117239;45727320301;7986231127;6873790;7139328;35454976
1700530711.354975;/sys/fs/cgroup/custom.slice/pg2;22278658183;45534218768;7988542679;8833653;7143424;35454976
1700530712.353936;#SYSTEM;44873150850;91698174175;47942977074;15715496;130080768;1370689536
1700530712.353936;/sys/fs/cgroup/custom.slice/pg1;22290769098;45698364290;7991713333;7206339;7139328;35454976
1700530712.353936;/sys/fs/cgroup/custom.slice/pg2;22342331946;45832966764;8005374707;8107424;7143424;35454976
1700530713.352943;#SYSTEM;44889853906;91724921291;47952481156;15569708;132173824;1370693632
1700530713.352943;/sys/fs/cgroup/custom.slice/pg1;22283641857;45680988111;7992410911;7200145;7139328;35454976
1700530713.352943;/sys/fs/cgroup/custom.slice/pg2;22301219203;45754756543;7993146985;7914944;7143424;35454976
1700530714.352605;#SYSTEM;44881783403;91729919698;47967656010;15411550;132370432;1370705920
1700530714.352605;/sys/fs/cgroup/custom.slice/pg1;22282258435;45692544574;7996930865;7141759;7139328;35454976
1700530714.352605;/sys/fs/cgroup/custom.slice/pg2;22299117486;45765488197;7996990586;7862863;7143424;35454976
1700530715.351078;#SYSTEM;44870915795;91666106592;47940473229;15745627;132775936;1370710016
1700530715.351078;/sys/fs/cgroup/custom.slice/pg1;22257724935;45652342850;7987594777;7151032;7139328;35454976
1700530715.351078;/sys/fs/cgroup/custom.slice/pg2;22272334570;45688706308;7987578444;8139663;7143424;35454976
1700530716.350144;#SYSTEM;44868959115;91703620170;47954370707;15344556;132775936;1370714112
1700530716.350144;/sys/fs/cgroup/custom.slice/pg1;22268008946;45666397120;7992167853;7090620;7139328;35454976
1700530716.350144;/sys/fs/cgroup/custom.slice/pg2;22285173872;45730727487;7992263038;7771958;7143424;35454976
1700530717.349193;#SYSTEM;44868636067;91707821779;47954501362;15326752;132775936;1370718208
1700530717.349193;/sys/fs/cgroup/custom.slice/pg1;22268734823;45660680849;7992300971;7148930;7139328;35454976
1700530717.349193;/sys/fs/cgroup/custom.slice/pg2;22285780867;45743308484;7992329355;7733615;7143424;35454976
1700530718.348600;#SYSTEM;44853889303;90961812788;47962649747;16550326;132775936;1370722304
1700530718.348600;/sys/fs/cgroup/custom.slice/pg1;22284811090;45323592874;7991950782;7571813;7139328;35454976
1700530718.348600;/sys/fs/cgroup/custom.slice/pg2;22280593647;45268699114;7990798045;8482010;7143424;35454976
1700530719.347339;#SYSTEM;44800918841;91410360332;47946179042;15550457;132775936;1370722304
1700530719.347339;/sys/fs/cgroup/custom.slice/pg1;22270545620;45716686537;7992184174;6796291;7139328;35454976
1700530719.347339;/sys/fs/cgroup/custom.slice/pg2;22242073371;45442836748;7993442272;8388451;7143424;35454976
1700530720.346531;#SYSTEM;44611069121;91526389820;47959864387;14467073;132775936;1370734592
1700530720.346531;/sys/fs/cgroup/custom.slice/pg1;22270556914;45797857129;7992085951;6544502;7139328;35454976
1700530720.346531;/sys/fs/cgroup/custom.slice/pg2;22249641933;45655459470;7988890073;7766420;7143424;35454976
1700530721.345499;#SYSTEM;44828248509;91610467874;47956582448;15050516;132775936;1370746880
1700530721.345499;/sys/fs/cgroup/custom.slice/pg1;22260655722;45783719784;7989973811;6481021;7139328;35454976
1700530721.345499;/sys/fs/cgroup/custom.slice/pg2;22236582126;45498090904;7991839590;8168785;7143424;35454976
1700530722.344598;#SYSTEM;44833086860;91631036225;47953380427;14974701;132816896;1370755072
1700530722.344598;/sys/fs/cgroup/custom.slice/pg1;22278930928;45819886237;7992769823;6411416;7139328;35454976
1700530722.344598;/sys/fs/cgroup/custom.slice/pg2;22241378666;45525407182;7992223408;8103374;7143424;35454976
1700530723.343654;#SYSTEM;44839903316;91653840697;47957021243;15204784;132829184;1370759168
1700530723.343654;/sys/fs/cgroup/custom.slice/pg1;22275696221;45826646219;7991609621;6472175;7139328;35454976
1700530723.343654;/sys/fs/cgroup/custom.slice/pg2;22240641916;45499296058;7992473536;8416680;7143424;35454976
1700530724.342758;#SYSTEM;44818270622;91546256585;47954783114;15228653;133115904;1370763264
1700530724.342758;/sys/fs/cgroup/custom.slice/pg1;22240780044;45612313085;7991870894;6923905;7139328;35454976
1700530724.342758;/sys/fs/cgroup/custom.slice/pg2;22247280092;45632378909;7992254135;7853793;7143424;35454976
1700530725.341769;#SYSTEM;44792477727;91489951928;47954026548;15204923;133115904;1370771456
1700530725.341769;/sys/fs/cgroup/custom.slice/pg1;22227224956;45575448559;7992992301;6981241;7139328;35454976
1700530725.341769;/sys/fs/cgroup/custom.slice/pg2;22232159162;45607950307;7991223547;7799632;7143424;35454976
1700530726.340866;#SYSTEM;44780959836;91480312817;47952776028;14952715;133115904;1370775552
1700530726.340866;/sys/fs/cgroup/custom.slice/pg1;22225466370;45566829699;7993332957;6938809;7139328;35454976
1700530726.340866;/sys/fs/cgroup/custom.slice/pg2;22240090570;45635002844;7993476217;7587156;7143424;35454976
1700530727.345063;#SYSTEM;8748507218;17620659556;61276765393;4066659;118833152;1299869696
1700530727.345063;/sys/fs/cgroup/custom.slice/pg1;3508978478;7160162697;1174315579;1237863;0;0
1700530727.345063;/sys/fs/cgroup/custom.slice/pg2;5001306688;10178392958;1629916197;2358828;0;0
1700530728.343207;#SYSTEM;192390462;265753446;63947496100;351550;118833152;1299869696
1700530728.343207;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700530728.343207;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1700530729.342387;#SYSTEM;191725848;266811709;63947867429;348823;118833152;1299869696
1700530729.342387;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700530729.342387;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1700530730.341350;#SYSTEM;201470761;276973862;63938831996;388555;118833152;1299881984
1700530730.341350;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700530730.341350;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
