TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_SW_CPU_CLOCK;PERF_COUNT_HW_BRANCH_MISSES;MEMORY_ANON;MEMORY_FILE
1700505467.372397;#SYSTEM;137090085;74005267;1699614936;163611;110796800;1104830464
1700505467.372397;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700505467.372397;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1700505468.370559;#SYSTEM;591979145;255299340;63761683165;1136300;115781632;1122693120
1700505468.370559;/sys/fs/cgroup/custom.slice/pg1;223847512;90865180;79933567;552233;1785856;8863744
1700505468.370559;/sys/fs/cgroup/custom.slice/pg2;228233262;71142368;73375920;201505;1794048;8863744
1700505469.369824;#SYSTEM;13764934870;26868984289;59964185872;217899810;116920320;1122689024
1700505469.369824;/sys/fs/cgroup/custom.slice/pg1;6732142986;11829297043;2000045150;168228345;1785856;8863744
1700505469.369824;/sys/fs/cgroup/custom.slice/pg2;6882051923;14884260324;1999459937;49640549;1794048;8863744
1700505470.368621;#SYSTEM;13862861250;27080846986;59932357597;219194904;117104640;1122689024
1700505470.368621;/sys/fs/cgroup/custom.slice/pg1;6775597631;11901386374;2000016311;169382407;1785856;8863744
1700505470.368621;/sys/fs/cgroup/custom.slice/pg2;6920828063;14971873675;1998802581;49892880;1794048;8863744
1700505471.367571;#SYSTEM;13857373302;27071894479;59939997016;219355359;117227520;1122697216
1700505471.367571;/sys/fs/cgroup/custom.slice/pg1;6772737181;11888861058;2000000002;169359648;1785856;8863744
1700505471.367571;/sys/fs/cgroup/custom.slice/pg2;6920312229;14971094171;1998955371;49873151;1794048;8863744
1700505472.366600;#SYSTEM;13875221193;27094408993;59943860977;219618092;119459840;1122697216
1700505472.366600;/sys/fs/cgroup/custom.slice/pg1;6771022435;11883678523;1999987912;169326661;1785856;8863744
1700505472.366600;/sys/fs/cgroup/custom.slice/pg2;6919442398;14969996020;1998977002;49852987;1794048;8863744
1700505473.366446;#SYSTEM;13877618381;27102739649;59966771107;219667124;119652352;1122701312
1700505473.366446;/sys/fs/cgroup/custom.slice/pg1;6766128069;11869621753;1998464136;169126284;1785856;8863744
1700505473.366446;/sys/fs/cgroup/custom.slice/pg2;6919838270;14973880515;1999208256;49857880;1794048;8863744
1700505474.365188;#SYSTEM;13868524910;27092229737;59940125548;219687686;119652352;1122701312
1700505474.365188;/sys/fs/cgroup/custom.slice/pg1;6757270288;11860450647;1995370782;168982691;1785856;8863744
1700505474.365188;/sys/fs/cgroup/custom.slice/pg2;6910823509;14952427482;1996426492;49798117;1794048;8863744
1700505475.364832;#SYSTEM;13868852254;27093618861;59949380921;219649232;119934976;1122709504
1700505475.364832;/sys/fs/cgroup/custom.slice/pg1;6765710241;11875230818;1997477054;169209574;1785856;8863744
1700505475.364832;/sys/fs/cgroup/custom.slice/pg2;6917760742;14970563251;1998328137;49836980;1794048;8863744
1700505476.364650;#SYSTEM;13862371826;27083409620;59958756888;219416012;119934976;1122709504
1700505476.364650;/sys/fs/cgroup/custom.slice/pg1;6769568618;11888190005;1998184812;169247792;1785856;8863744
1700505476.364650;/sys/fs/cgroup/custom.slice/pg2;6918740420;14969247795;1998745934;49855680;1794048;8863744
1700505477.362988;#SYSTEM;13852555856;27065958827;59933375186;219123800;119934976;1122721792
1700505477.362988;/sys/fs/cgroup/custom.slice/pg1;6760362900;11867064102;1994701402;168889235;1785856;8863744
1700505477.362988;/sys/fs/cgroup/custom.slice/pg2;6911260118;14954061356;1995775628;49784993;1794048;8863744
1700505478.362956;#SYSTEM;13862605480;27074566970;59966528017;219355218;119934976;1122721792
1700505478.362956;/sys/fs/cgroup/custom.slice/pg1;6775538198;11888077164;1999758302;169342182;1785856;8863744
1700505478.362956;/sys/fs/cgroup/custom.slice/pg2;6924098573;14980150495;1999491368;49880167;1794048;8863744
1700505479.360917;#SYSTEM;13854748889;27051919124;59923832557;218943240;119934976;1122721792
1700505479.360917;/sys/fs/cgroup/custom.slice/pg1;6774032897;11887446679;2000039239;169278254;1785856;8863744
1700505479.360917;/sys/fs/cgroup/custom.slice/pg2;6918599786;14968275995;1998080127;49843949;1794048;8863744
1700505480.360136;#SYSTEM;13864644994;27077219500;59947454137;219323655;119934976;1122721792
1700505480.360136;/sys/fs/cgroup/custom.slice/pg1;6773576726;11882371177;2000049088;169299327;1785856;8863744
1700505480.360136;/sys/fs/cgroup/custom.slice/pg2;6920866713;14974238193;1999120564;49862184;1794048;8863744
1700505481.360208;#SYSTEM;13861812507;27075116897;59959947292;219347428;119934976;1122734080
1700505481.360208;/sys/fs/cgroup/custom.slice/pg1;6772282827;11880534931;2000011378;169281108;1785856;8863744
1700505481.360208;/sys/fs/cgroup/custom.slice/pg2;6923207945;14979775648;1999861378;49875705;1794048;8863744
1700505482.358876;#SYSTEM;13854369084;27051114568;59948849651;219420413;119488512;1120530432
1700505482.358876;/sys/fs/cgroup/custom.slice/pg1;6770124026;11872900976;1999707279;169172625;1785856;8863744
1700505482.358876;/sys/fs/cgroup/custom.slice/pg2;6893464824;14913993327;1991613002;49671918;1347584;6647808
1700505483.359686;#SYSTEM;6568994016;11711118495;62125459738;146196153;116355072;1105018880
1700505483.359686;/sys/fs/cgroup/custom.slice/pg1;5599824115;9810527979;1639379086;139787579;0;0
1700505483.359686;/sys/fs/cgroup/custom.slice/pg2;733578685;1589725803;215502067;5291304;0;0
1700505484.359187;#SYSTEM;171687317;225785067;63958026734;318122;116355072;1105018880
1700505484.359187;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700505484.359187;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1700505485.358246;#SYSTEM;171772758;226170769;63940731659;329052;116355072;1105018880
1700505485.358246;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700505485.358246;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1700505486.357390;#SYSTEM;173013583;225981712;63946117992;336144;116355072;1105018880
1700505486.357390;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700505486.357390;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
