TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_SW_CPU_CLOCK;PERF_COUNT_HW_BRANCH_MISSES;MEMORY_ANON;MEMORY_FILE
1700502865.13998;#SYSTEM;17357992;11077782;58995523;34825;109314048;821624832
1700502865.13998;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700502865.13998;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1700502866.13317;#SYSTEM;209471604;212814437;11921786762;490397;112771072;834920448
1700502866.13317;/sys/fs/cgroup/custom.slice/pg1;64154969;97782031;31136315;71046;1331200;6647808
1700502866.13317;/sys/fs/cgroup/custom.slice/pg2;57653188;53758149;33761007;100250;1331200;6647808
1700502867.11803;#SYSTEM;11364907273;26824455159;8990232071;8162435;112857088;834908160
1700502867.11803;/sys/fs/cgroup/custom.slice/pg1;5662255307;15184983450;1499898412;6111016;1331200;6647808
1700502867.11803;/sys/fs/cgroup/custom.slice/pg2;5651170854;11614741483;1496459362;1874173;1331200;6647808
1700502868.10883;#SYSTEM;11445520214;26931494094;8994339772;8683002;112939008;834916352
1700502868.10883;/sys/fs/cgroup/custom.slice/pg1;5671941699;15213113873;1497118195;6119297;1331200;6647808
1700502868.10883;/sys/fs/cgroup/custom.slice/pg2;5667694733;11591989777;1497141046;2355975;1331200;6647808
1700502869.9869;#SYSTEM;11421794336;26904439786;8988234321;8084861;113033216;834916352
1700502869.9869;/sys/fs/cgroup/custom.slice/pg1;5693432325;15271104633;1502773088;6143967;1331200;6647808
1700502869.9869;/sys/fs/cgroup/custom.slice/pg2;5666909389;11629014333;1497004428;1774702;1331200;6647808
1700502870.8942;#SYSTEM;11433058152;26897117812;8991390930;8616553;113737728;834916352
1700502870.8942;/sys/fs/cgroup/custom.slice/pg1;5674007727;15219903495;1497648779;6121907;1331200;6647808
1700502870.8942;/sys/fs/cgroup/custom.slice/pg2;5676464426;11605614209;1499358020;2304206;1331200;6647808
