TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_SW_CPU_CLOCK;PERF_COUNT_HW_BRANCH_MISSES;MEMORY_ANON;MEMORY_FILE
1700494980.249140;#SYSTEM;16802432;10846775;58416684;56363;109232128;796672000
1700494980.249140;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700494980.249140;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1700494981.248219;#SYSTEM;434451958;312996869;11839459248;865418;120774656;818835456
1700494981.248219;/sys/fs/cgroup/custom.slice/pg1;57815544;58682338;31980186;148097;880640;4431872
1700494981.248219;/sys/fs/cgroup/custom.slice/pg2;217553080;157022983;113059391;253498;9863168;17727488
1700494982.246922;#SYSTEM;18940838540;22989936106;6990789559;23489299;120881152;818802688
1700494982.246922;/sys/fs/cgroup/custom.slice/pg1;3786100319;5454830058;999885798;6963432;880640;4431872
1700494982.246922;/sys/fs/cgroup/custom.slice/pg2;15126958564;17535702007;3995876430;16441641;9863168;17727488
1700494983.245890;#SYSTEM;18992337449;23015693113;6991146188;23517083;120971264;818802688
1700494983.245890;/sys/fs/cgroup/custom.slice/pg1;3787176253;5457461994;999924489;6957090;880640;4431872
1700494983.245890;/sys/fs/cgroup/custom.slice/pg2;15136722675;17504087687;3996715570;16418090;9863168;17727488
1700494984.244989;#SYSTEM;19005282473;22964501895;6994691697;23453928;121081856;818810880
1700494984.244989;/sys/fs/cgroup/custom.slice/pg1;3781202893;5449040651;998348217;6945796;880640;4431872
1700494984.244989;/sys/fs/cgroup/custom.slice/pg2;15131904322;17405134450;3995427316;16342583;9863168;17727488
1700494985.244041;#SYSTEM;19008013764;22831146871;6995166155;23355713;121798656;818814976
1700494985.244041;/sys/fs/cgroup/custom.slice/pg1;3779909843;5446556947;998010885;6947130;880640;4431872
1700494985.244041;/sys/fs/cgroup/custom.slice/pg2;15130149643;17307808242;3994963219;16216656;9863168;17727488
1700494986.243098;#SYSTEM;19006269626;22813490535;6995140754;23291765;121896960;818814976
1700494986.243098;/sys/fs/cgroup/custom.slice/pg1;3779961072;5447225287;998012822;6946738;880640;4431872
1700494986.243098;/sys/fs/cgroup/custom.slice/pg2;15130307927;17248205878;3994986101;16191362;9863168;17727488
1700494987.242169;#SYSTEM;19007773364;22783869574;6995204004;23279552;121909248;818814976
1700494987.242169;/sys/fs/cgroup/custom.slice/pg1;3780031875;5446654732;998031604;6948760;880640;4431872
1700494987.242169;/sys/fs/cgroup/custom.slice/pg2;15130307121;17232740872;3995012858;16168192;9863168;17727488
1700494988.241220;#SYSTEM;18998239516;22716514441;6992930985;23212072;122019840;818814976
1700494988.241220;/sys/fs/cgroup/custom.slice/pg1;3784113798;5453473656;999102297;6949032;880640;4431872
1700494988.241220;/sys/fs/cgroup/custom.slice/pg2;15133847765;17197115773;3995911767;16123629;9863168;17727488
1700494989.240305;#SYSTEM;18992689812;22682646063;6991437690;23190838;122019840;818827264
1700494989.240305;/sys/fs/cgroup/custom.slice/pg1;3787121749;5457580020;999911323;6954537;880640;4431872
1700494989.240305;/sys/fs/cgroup/custom.slice/pg2;15137281380;17160327801;3996860744;16077032;9863168;17727488
1700494990.239352;#SYSTEM;18992015925;22708617536;6991376092;23205075;122019840;818827264
1700494990.239352;/sys/fs/cgroup/custom.slice/pg1;3787248534;5457727760;999938197;6956226;880640;4431872
1700494990.239352;/sys/fs/cgroup/custom.slice/pg2;15137544869;17203084612;3996896572;16127253;9863168;17727488
1700494991.238437;#SYSTEM;19005246308;22726143717;6994852245;23253366;122085376;818827264
1700494991.238437;/sys/fs/cgroup/custom.slice/pg1;3774317476;5439292793;996543967;6931078;880640;4431872
1700494991.238437;/sys/fs/cgroup/custom.slice/pg2;15137165166;17203818374;3996837850;16131630;9863168;17727488
1700494992.237466;#SYSTEM;18999003640;22723114231;6992908030;23215262;122085376;818831360
1700494992.237466;/sys/fs/cgroup/custom.slice/pg1;3783390471;5451947054;998934606;6951188;880640;4431872
1700494992.237466;/sys/fs/cgroup/custom.slice/pg2;15135720030;17191567148;3996405477;16118320;9863168;17727488
1700494993.236544;#SYSTEM;19003156905;22679627071;6994219201;23180926;122085376;818831360
1700494993.236544;/sys/fs/cgroup/custom.slice/pg1;3783420004;5452187156;998949041;6950317;880640;4431872
1700494993.236544;/sys/fs/cgroup/custom.slice/pg2;15130221325;17149301034;3994981226;16080069;9863168;17727488
1700494994.235619;#SYSTEM;18994224191;22689246745;6992067552;23199439;122089472;818835456
1700494994.235619;/sys/fs/cgroup/custom.slice/pg1;3783493374;5452232374;998958239;6950456;880640;4431872
1700494994.235619;/sys/fs/cgroup/custom.slice/pg2;15138374439;17182044890;3997122720;16095827;9863168;17727488
1700494995.234668;#SYSTEM;18999717986;22748962055;6993306292;23238631;122089472;818843648
1700494995.234668;/sys/fs/cgroup/custom.slice/pg1;3783533006;5451966403;998973088;6952553;880640;4431872
1700494995.234668;/sys/fs/cgroup/custom.slice/pg2;15133888204;17219614932;3995951225;16144999;9863168;17727488
1700494996.233739;#SYSTEM;18998415802;22748471613;6993318627;23232277;122089472;818847744
1700494996.233739;/sys/fs/cgroup/custom.slice/pg1;3783565846;5452359751;998976643;6954631;880640;4431872
1700494996.233739;/sys/fs/cgroup/custom.slice/pg2;15134086820;17218543469;3995990337;16142954;9863168;17727488
1700494997.232783;#SYSTEM;18998775742;22715733638;6993226092;23193466;122146816;818847744
1700494997.232783;/sys/fs/cgroup/custom.slice/pg1;3783427229;5451473721;998948730;6956044;880640;4431872
1700494997.232783;/sys/fs/cgroup/custom.slice/pg2;15133371844;17176396968;3995806477;16118352;9863168;17727488
1700494998.231843;#SYSTEM;18998137943;22743207135;6993273893;23232993;122146816;818847744
1700494998.231843;/sys/fs/cgroup/custom.slice/pg1;3783726563;5452217736;999012272;6961233;880640;4431872
1700494998.231843;/sys/fs/cgroup/custom.slice/pg2;15134060966;17224897376;3995970344;16152167;9863168;17727488
1700494999.230905;#SYSTEM;18998189705;22750955163;6993248588;23237990;122155008;818851840
1700494999.230905;/sys/fs/cgroup/custom.slice/pg1;3783644118;5452167569;998992597;6953482;880640;4431872
1700494999.230905;/sys/fs/cgroup/custom.slice/pg2;15133741746;17221084916;3995901894;16143731;9863168;17727488
1700495000.229988;#SYSTEM;19013452049;22748788894;6997106460;23229398;122155008;818860032
1700495000.229988;/sys/fs/cgroup/custom.slice/pg1;3783679460;5452290645;998998933;6954209;880640;4431872
1700495000.229988;/sys/fs/cgroup/custom.slice/pg2;15119835872;17161493629;3992238446;16096890;9863168;17727488
1700495001.229043;#SYSTEM;18997836769;22711777083;6992694825;23201230;122171392;818860032
1700495001.229043;/sys/fs/cgroup/custom.slice/pg1;3783523224;5452241886;998961020;6953298;880640;4431872
1700495001.229043;/sys/fs/cgroup/custom.slice/pg2;15135179862;17182232089;3996305793;16108570;9863168;17727488
1700495002.228132;#SYSTEM;16914239942;21262626190;7522461770;22250909;119713792;814428160
1700495002.228132;/sys/fs/cgroup/custom.slice/pg1;3750904865;6309945581;999015092;8156572;880640;4431872
1700495002.228132;/sys/fs/cgroup/custom.slice/pg2;13096430921;14916953074;3466990565;13992051;7401472;13295616
1700495003.227142;#SYSTEM;15210265597;20810047421;7990562446;22246087;119787520;814432256
1700495003.227142;/sys/fs/cgroup/custom.slice/pg1;3794324639;7435909945;1001584509;9746098;880640;4431872
1700495003.227142;/sys/fs/cgroup/custom.slice/pg2;11347055710;13331131626;2995930605;12526165;7401472;13295616
1700495004.226217;#SYSTEM;15218914708;20824676470;7992357970;22356690;119787520;814432256
1700495004.226217;/sys/fs/cgroup/custom.slice/pg1;3788457572;7426832803;999970066;9665198;880640;4431872
1700495004.226217;/sys/fs/cgroup/custom.slice/pg2;11347157867;13329726896;2996036341;12453826;7401472;13295616
1700495005.225304;#SYSTEM;15461456847;21042076636;7992311987;23847826;119787520;814440448
1700495005.225304;/sys/fs/cgroup/custom.slice/pg1;3784887955;7345593775;999059988;9807790;880640;4431872
1700495005.225304;/sys/fs/cgroup/custom.slice/pg2;11350100827;13324492280;2996823882;12448815;7401472;13295616
1700495006.224330;#SYSTEM;15217817477;20987044913;7992241054;22414668;119787520;814440448
1700495006.224330;/sys/fs/cgroup/custom.slice/pg1;3781309574;7412820949;998077481;9647108;880640;4431872
1700495006.224330;/sys/fs/cgroup/custom.slice/pg2;11354177759;13478399647;2997885020;12633848;7401472;13295616
1700495007.223387;#SYSTEM;15216829092;20915376618;7992336092;23229294;119787520;814448640
1700495007.223387;/sys/fs/cgroup/custom.slice/pg1;3781205678;7386024041;998074615;10424186;880640;4431872
1700495007.223387;/sys/fs/cgroup/custom.slice/pg2;11354108464;13444695676;2997904761;12608780;7401472;13295616
1700495008.222521;#SYSTEM;12527346695;20335298234;8682612374;19963564;118906880;810016768
1700495008.222521;/sys/fs/cgroup/custom.slice/pg1;1154407211;2257317150;304721675;2940640;0;0
1700495008.222521;/sys/fs/cgroup/custom.slice/pg2;11319719139;18074796076;3001106067;16937577;7401472;13295616
1700495009.221525;#SYSTEM;11430663535;20655104439;8990352566;19416769;118906880;810016768
1700495009.221525;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700495009.221525;/sys/fs/cgroup/custom.slice/pg2;11357709242;20587455487;2998211316;19310620;7401472;13295616
1700495010.220599;#SYSTEM;11440623422;20715583492;8993229445;19487764;118906880;810024960
1700495010.220599;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700495010.220599;/sys/fs/cgroup/custom.slice/pg2;11346315139;20606215826;2995195139;19311023;7401472;13295616
1700495011.219723;#SYSTEM;11122438928;20122312720;9076914135;18932216;117669888;807809024
1700495011.219723;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700495011.219723;/sys/fs/cgroup/custom.slice/pg2;11031481594;20019457874;2912090673;18769315;6164480;11079680
1700495012.218780;#SYSTEM;7642515291;13912949283;9990279478;13173965;116436992;805593088
1700495012.218780;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700495012.218780;/sys/fs/cgroup/custom.slice/pg2;7568343935;13820074351;1998240635;12954626;4931584;8863744
1700495013.217833;#SYSTEM;7624812733;13853378703;9988326597;13110597;116436992;805597184
1700495013.217833;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700495013.217833;/sys/fs/cgroup/custom.slice/pg2;7576973030;13806161868;2000006531;12939675;4931584;8863744
1700495014.216928;#SYSTEM;7630465827;13890816974;9989854327;13149187;116436992;805597184
1700495014.216928;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700495014.216928;/sys/fs/cgroup/custom.slice/pg2;7571947601;13826236139;1998666726;12957635;4931584;8863744
1700495015.215972;#SYSTEM;7628733364;13889632244;9989538713;13141421;116436992;805605376
1700495015.215972;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700495015.215972;/sys/fs/cgroup/custom.slice/pg2;7573095645;13829020798;1998984836;12960201;4931584;8863744
1700495016.216159;#SYSTEM;2659232217;4770011764;11309347379;4659768;111505408;796741632
1700495016.216159;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700495016.216159;/sys/fs/cgroup/custom.slice/pg2;2594367805;4713950397;684589540;4420695;0;0
1700495017.215044;#SYSTEM;60293656;68155091;11989143367;175109;111505408;796741632
1700495017.215044;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700495017.215044;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1700495018.214250;#SYSTEM;54717021;67139275;11989803643;142498;111505408;796741632
1700495018.214250;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700495018.214250;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1700495019.213420;#SYSTEM;55786302;67318594;11989817930;146697;111505408;796741632
1700495019.213420;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700495019.213420;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
