FULL;PG1;PG2
14.578729;0;0
90.75227;0.088366;0.353464
93.480744;18.659562;74.63824799999999
93.60577;18.684516;74.738064
93.48111;18.659634;74.638536
93.63127;18.689606;74.758424
93.529304;18.559577;74.604016
93.53953;18.799164;75.01414000000001
93.553576;18.674098;74.696392
93.544536;18.654042;74.616168
93.554904;18.692654;74.770616
93.65244;18.693832;74.775328
93.55836;18.693433;74.59135800000001
93.54867;18.654866;74.619464
93.56038;18.693748;74.774992
93.56135;18.67565;74.7026
93.56389;18.6579;74.6316
93.55918;18.621002;74.665676
93.55719;18.693112;74.772448
93.55442;18.674266;74.697064
93.558104;18.656748;74.62699199999999
93.66024;18.69539;74.78156
88.04758;20.434252;61.50309
87.45336;21.836578;65.509734
87.48421;21.897886;65.693658
87.57409;21.839992;65.519976
87.489496;21.818896;65.242778
87.49359;21.740186;65.433696
80.51346;25.86574;51.73148
81.66304;27.265564;54.531128
50.478816;37.720432;0
43.519228;22.194806;0
21.15976;0;0
14.176784;0;0
14.141409;0;0
14.116623;0;0
