TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_SW_CPU_CLOCK;PERF_COUNT_HW_BRANCH_MISSES;MEMORY_ANON;MEMORY_FILE
1700512874.470403;#SYSTEM;14287505;10780752;52385616;31015;154841088;1120108544
1700512874.470403;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700512874.470403;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1700512875.482153;#SYSTEM;604760741;776324338;11950868512;776448;159748096;1140170752
1700512875.482153;/sys/fs/cgroup/custom.slice/pg1;161242262;267298274;63891218;144481;1323008;6647808
1700512875.482153;/sys/fs/cgroup/custom.slice/pg2;322539525;483103627;124260261;273637;2650112;13295616
1700512876.468249;#SYSTEM;16842700964;35306868643;7402317839;592481;159748096;1140170752
1700512876.468249;/sys/fs/cgroup/custom.slice/pg1;5597916470;13948243504;1478109654;240062;1323008;6647808
1700512876.468249;/sys/fs/cgroup/custom.slice/pg2;11186711394;21272557675;2954006983;327059;2650112;13295616
1700512877.467312;#SYSTEM;17103521204;35757262672;7490538857;827150;159838208;1140170752
1700512877.467312;/sys/fs/cgroup/custom.slice/pg1;5678198893;14100528746;1499031118;348862;1323008;6647808
1700512877.467312;/sys/fs/cgroup/custom.slice/pg2;11359030375;21577117533;2998911552;272145;2650112;13295616
1700512878.466351;#SYSTEM;17102525926;35722168759;7490517172;938516;159948800;1140170752
1700512878.466351;/sys/fs/cgroup/custom.slice/pg1;5678276177;14150445541;1499040991;242446;1323008;6647808
1700512878.466351;/sys/fs/cgroup/custom.slice/pg2;11359171360;21568442116;2998934649;313876;2650112;13295616
1700512879.465423;#SYSTEM;17110482329;35693990906;7492213014;1133135;160681984;1140170752
1700512879.465423;/sys/fs/cgroup/custom.slice/pg1;5676989189;14043992960;1498714959;625081;1323008;6647808
1700512879.465423;/sys/fs/cgroup/custom.slice/pg2;11355507718;21567243296;2997962940;282221;2650112;13295616
1700512880.464516;#SYSTEM;17121938602;35756407910;7495281717;974196;160731136;1140178944
1700512880.464516;/sys/fs/cgroup/custom.slice/pg1;5674761281;14112833771;1498121609;240920;1323008;6647808
1700512880.464516;/sys/fs/cgroup/custom.slice/pg2;11345070815;21544576924;2995208401;336315;2650112;13295616
1700512881.463540;#SYSTEM;17120562140;35700872246;7495135233;1190286;160841728;1140183040
1700512881.463540;/sys/fs/cgroup/custom.slice/pg1;5674464606;14055360822;1498063080;623878;1323008;6647808
1700512881.463540;/sys/fs/cgroup/custom.slice/pg2;11344795056;21536043551;2995155864;391260;2650112;13295616
1700512882.462593;#SYSTEM;17119216012;35777764916;7495211987;770697;160845824;1140183040
1700512882.462593;/sys/fs/cgroup/custom.slice/pg1;5674668883;14111422115;1498093890;234954;1323008;6647808
1700512882.462593;/sys/fs/cgroup/custom.slice/pg2;11345123632;21542803392;2995204892;335925;2650112;13295616
1700512883.461680;#SYSTEM;17118138972;35595406361;7494833127;2015271;160845824;1140187136
1700512883.461680;/sys/fs/cgroup/custom.slice/pg1;5675004644;14071319678;1498171167;623357;1323008;6647808
1700512883.461680;/sys/fs/cgroup/custom.slice/pg2;11345531913;21443013659;2995326330;1205282;2650112;13295616
1700512884.460740;#SYSTEM;17102704877;35743345436;7490507526;984817;160927744;1140187136
1700512884.460740;/sys/fs/cgroup/custom.slice/pg1;5678117260;14121296554;1499033506;235875;1323008;6647808
1700512884.460740;/sys/fs/cgroup/custom.slice/pg2;11358997333;21576653686;2998937970;382947;2650112;13295616
1700512885.459794;#SYSTEM;17102425415;35678504769;7490570616;1179868;160927744;1140187136
1700512885.459794;/sys/fs/cgroup/custom.slice/pg1;5678016124;14075778937;1499007947;626098;1323008;6647808
1700512885.459794;/sys/fs/cgroup/custom.slice/pg2;11358485038;21570518140;2998812802;388637;2650112;13295616
1700512886.458832;#SYSTEM;17101463704;35737813345;7490542132;897093;160940032;1140195328
1700512886.458832;/sys/fs/cgroup/custom.slice/pg1;5678086652;14150215637;1499010999;239294;1323008;6647808
1700512886.458832;/sys/fs/cgroup/custom.slice/pg2;11359006002;21567039765;2998926080;484816;2650112;13295616
1700512887.457870;#SYSTEM;17100498955;35664879118;7490206603;1099114;160944128;1140199424
1700512887.457870;/sys/fs/cgroup/custom.slice/pg1;5677951222;14073880646;1498980142;625223;1323008;6647808
1700512887.457870;/sys/fs/cgroup/custom.slice/pg2;11358853707;21563863925;2998885869;287295;2650112;13295616
1700512888.456928;#SYSTEM;17116473462;35766589112;7494616668;689447;160944128;1140203520
1700512888.456928;/sys/fs/cgroup/custom.slice/pg1;5675037286;14118555786;1498203173;239619;1323008;6647808
1700512888.456928;/sys/fs/cgroup/custom.slice/pg2;11347650648;21529631388;2995932661;285868;2650112;13295616
1700512889.455984;#SYSTEM;17119165255;35599309603;7495245203;2007536;160976896;1140203520
1700512889.455984;/sys/fs/cgroup/custom.slice/pg1;5674488526;14067215232;1498066326;622850;1323008;6647808
1700512889.455984;/sys/fs/cgroup/custom.slice/pg2;11344753657;21442017021;2995155219;1198980;2650112;13295616
1700512890.455056;#SYSTEM;17107932576;35761624040;7492508564;692881;160976896;1140203520
1700512890.455056;/sys/fs/cgroup/custom.slice/pg1;5674623208;14119629265;1498100153;239470;1323008;6647808
1700512890.455056;/sys/fs/cgroup/custom.slice/pg2;11354838678;21579820798;2997804618;303362;2650112;13295616
1700512891.454117;#SYSTEM;17117177697;35628801639;7494296606;1892919;161021952;1140215808
