TIMESTAMP;CPU;RAM;GPU
1700489503.434302;0.568665;0;0
1700489504.433186;14.8416;0;0
1700489505.431969;85.5289;0;0
1700489506.431011;158.07;0;0
1700489507.429990;230.78;0;0
1700489508.429107;303.456;0;0
1700489509.428165;376.16;0;0
1700489510.427255;448.893;0;0
1700489511.426229;521.759;0;0
1700489512.425362;594.587;0;0
1700489513.424400;667.416;0;0
1700489514.423465;740.287;0;0
1700489515.422466;813.213;0;0
1700489516.421614;886.102;0;0
1700489517.420640;958.981;0;0
1700489518.419711;1031.88;0;0
1700489519.418699;1104.78;0;0
1700489520.417822;1177.73;0;0
1700489521.416900;1250.62;0;0
1700489522.415976;1323.54;0;0
1700489523.415008;1396.41;0;0
1700489524.414020;1469.29;0;0
1700489525.413363;1539.76;0;0
1700489526.413198;1570.87;0;0
1700489527.412509;1584.84;0;0
1700489528.411526;1598.88;0;0
1700489529.410661;1612.81;0;0
