FULL;PG1;PG2
14.325074;0;0
89.087464;0.43351300000000004;0.108378
91.97047;45.872804;45.872804
91.94593;45.86056;45.86056
91.98624;45.880668;45.880668
91.90405;45.727316;45.502612
91.98623;45.88066;45.88066
91.99368;45.884376;45.884376
91.91798;45.846624;45.846624
92.00777;46.060328;46.060328
92.02505;45.900024;45.900024
91.91191;45.788028;46.011931999999995
92.01485;45.894932;45.894932
91.904536;45.839912;45.839912
92.00456;45.777328999999995;45.552379
92.38731;46.080712;46.080712
93.41518;46.53691500000001;46.764481
93.53229;46.6518;46.6518
93.51997;46.874872;46.874872
93.48906;46.630236;46.630236
93.44136;46.606448;46.606448
93.49916;46.578749;46.464864
68.95997;45.094842;15.080418
66.079496;49.042131999999995;16.241226
66.193444;49.245363;16.468417
66.18724;49.240747;16.466873
66.242104;49.562436;16.520812
66.130704;49.080135;16.253811
47.05766;0;25.376644
38.90045;0;37.799492
37.453476;0;0
14.368155;0;0
14.035442;0;0
14.00215;0;0
