TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_SW_CPU_CLOCK;PERF_COUNT_HW_BRANCH_MISSES;MEMORY_ANON;MEMORY_FILE
1700526441.783790;#SYSTEM;17420420;11980555;61345454;33860;104955904;1168658432
1700526441.783790;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700526441.783790;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1700526442.794370;#SYSTEM;375638579;243517708;12001468070;897589;111079424;1195384832
1700526442.794370;/sys/fs/cgroup/custom.slice/pg1;96569626;66362895;46151355;228128;1765376;8863744
1700526442.794370;/sys/fs/cgroup/custom.slice/pg2;148683910;110585623;76333762;161054;3526656;17727488
1700526443.781712;#SYSTEM;22436832300;33397532412;5934049782;399144;111185920;1195352064
1700526443.781712;/sys/fs/cgroup/custom.slice/pg1;7476947904;11388382710;1977700911;211572;1765376;8863744
1700526443.781712;/sys/fs/cgroup/custom.slice/pg2;14899832760;21942497960;3938169507;130679;3530752;17727488
1700526444.780726;#SYSTEM;22730968695;33773352127;6001850022;473627;111271936;1195352064
1700526444.780726;/sys/fs/cgroup/custom.slice/pg1;7566389857;11485759239;1997713022;197530;1765376;8863744
1700526444.780726;/sys/fs/cgroup/custom.slice/pg2;15107035225;22245345518;3988796093;129760;3530752;17727488
1700526445.779755;#SYSTEM;22737150694;33770394548;6003532405;469649;111407104;1195356160
1700526445.779755;/sys/fs/cgroup/custom.slice/pg1;7567364679;11473766608;1997996083;181659;1765376;8863744
1700526445.779755;/sys/fs/cgroup/custom.slice/pg2;15099175682;22232726641;3986726621;130633;3530752;17727488
1700526446.778883;#SYSTEM;22738464061;33773695675;6003851146;455238;112205824;1195364352
1700526446.778883;/sys/fs/cgroup/custom.slice/pg1;7567400043;11471232029;1997989465;182139;1765376;8863744
1700526446.778883;/sys/fs/cgroup/custom.slice/pg2;15099492272;22234293430;3986856512;129778;3530752;17727488
1700526447.777902;#SYSTEM;22729589976;33757308236;6001524642;472619;112267264;1195364352
1700526447.777902;/sys/fs/cgroup/custom.slice/pg1;7567088642;11469990907;1997924624;191906;1765376;8863744
1700526447.777902;/sys/fs/cgroup/custom.slice/pg2;15105874987;22243690999;3988550418;129132;3530752;17727488
1700526448.776975;#SYSTEM;22757619054;33796941588;6008877106;470867;112312320;1195364352
