TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_SW_CPU_CLOCK;PERF_COUNT_HW_BRANCH_MISSES;MEMORY_ANON;MEMORY_FILE
1700490628.392329;#SYSTEM;18232878;11339442;68722338;84460;109162496;781639680
1700490628.392329;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0;0;0
1700490628.392329;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0;0;0
1700490629.391415;#SYSTEM;226267921;216357587;11901975271;1000407;115752960;794947584
1700490629.391415;/sys/fs/cgroup/custom.slice/pg1;46391609;50632532;29315208;597554;876544;4431872
1700490629.391415;/sys/fs/cgroup/custom.slice/pg2;84498702;94848501;53819109;131549;4923392;8863744
1700490630.390105;#SYSTEM;11341197087;20589300056;8991949116;106217044;115838976;794931200
1700490630.390105;/sys/fs/cgroup/custom.slice/pg1;3750306860;6541493895;998729641;93079476;876544;4431872
1700490630.390105;/sys/fs/cgroup/custom.slice/pg2;7547649351;13999106130;1996192025;13119595;4923392;8863744
1700490631.389081;#SYSTEM;11437779458;20600886316;8991437303;107443845;115912704;794931200
1700490631.389081;/sys/fs/cgroup/custom.slice/pg1;3784618253;6637323128;999019338;94269222;876544;4431872
1700490631.389081;/sys/fs/cgroup/custom.slice/pg2;7568658410;13892211156;1997958550;13017455;4923392;8863744
1700490632.388155;#SYSTEM;11426714176;20473350153;8989904689;107343010;116019200;794931200
1700490632.388155;/sys/fs/cgroup/custom.slice/pg1;3784835494;6633403381;999069049;94222090;876544;4431872
1700490632.388155;/sys/fs/cgroup/custom.slice/pg2;7574672317;13787589659;1999535311;12922639;4923392;8863744
1700490633.387229;#SYSTEM;11442228587;20530502759;8993135447;107148477;116736000;794931200
1700490633.387229;/sys/fs/cgroup/custom.slice/pg1;3784774869;6610279935;999059372;93914527;876544;4431872
1700490633.387229;/sys/fs/cgroup/custom.slice/pg2;7562982698;13818420949;1996475075;12973284;4923392;8863744
1700490634.386279;#SYSTEM;11435787669;20568836503;8991383946;107350810;116797440;794935296
1700490634.386279;/sys/fs/cgroup/custom.slice/pg1;3784656728;6634335564;999039163;94244414;876544;4431872
1700490634.386279;/sys/fs/cgroup/custom.slice/pg2;7568997049;13862485327;1998047903;13014530;4923392;8863744
1700490635.385343;#SYSTEM;11436251457;20555496213;8991427308;107339999;116883456;794943488
1700490635.385343;/sys/fs/cgroup/custom.slice/pg1;3784859966;6638207591;999077858;94284815;876544;4431872
1700490635.385343;/sys/fs/cgroup/custom.slice/pg2;7568813773;13846659533;1998001521;13022644;4923392;8863744
1700490636.384441;#SYSTEM;11449707191;20466868190;8991471298;107353064;116895744;794943488
1700490636.384441;/sys/fs/cgroup/custom.slice/pg1;3784716479;6629024217;999049951;94234151;876544;4431872
1700490636.384441;/sys/fs/cgroup/custom.slice/pg2;7569077419;13741216029;1998082805;12932840;4923392;8863744
1700490637.383477;#SYSTEM;11435504420;20485884051;8991406845;107363623;116895744;794943488
1700490637.383477;/sys/fs/cgroup/custom.slice/pg1;3784671352;6632773284;999033614;94240231;876544;4431872
1700490637.383477;/sys/fs/cgroup/custom.slice/pg2;7568712080;13771510891;1997978226;12958765;4923392;8863744
1700490638.382522;#SYSTEM;11432808272;20555109215;8991426420;107456031;116895744;794943488
1700490638.382522;/sys/fs/cgroup/custom.slice/pg1;3784692267;6638493387;999035675;94308677;876544;4431872
1700490638.382522;/sys/fs/cgroup/custom.slice/pg2;7568976114;13847841442;1998037763;12935204;4923392;8863744
1700490639.381606;#SYSTEM;11432243970;20468750066;8991382263;107335412;116953088;794943488
1700490639.381606;/sys/fs/cgroup/custom.slice/pg1;3784745969;6637387710;999049034;94276316;876544;4431872
1700490639.381606;/sys/fs/cgroup/custom.slice/pg2;7569061164;13765705696;1998058597;12863681;4923392;8863744
1700490640.380654;#SYSTEM;11428441209;20551195651;8990509499;107451651;116953088;794951680
1700490640.380654;/sys/fs/cgroup/custom.slice/pg1;3784668989;6633112923;999035973;94221921;876544;4431872
1700490640.380654;/sys/fs/cgroup/custom.slice/pg2;7572411046;13856369109;1998946863;12969779;4923392;8863744
1700490641.379712;#SYSTEM;11428947963;20489188542;8990572855;107309514;116953088;794955776
1700490641.379712;/sys/fs/cgroup/custom.slice/pg1;3784692519;6631826691;999039184;94266904;876544;4431872
